FISCAL_QUARTER,STORE_CODE,STORE_NAME,PRODUCT_FAMILY,UNITS_SOLD,RETURNS_UNITS,NET_SALES_AMOUNT,CURRENCY_CODE,NET_SALES_USD
FY2025-Q4,MER-RTL-GB-0005,Meridian Store London 05,SLATE,957,25,"372.251,97",GBP,"472,760.00"
FY2025-Q4,MER-RTL-GB-0005,Meridian Store London 05,HALO,717,18,"91.181,10",GBP,"115,800.00"
FY2026-Q1,MER-RTL-GB-0005,Meridian Store London 05,PULSE,2588,64,"1.660.393,70",GBP,"2,108,700.00"
FY2026-Q1,MER-RTL-GB-0005,Meridian Store London 05,AURA,1811,47,"1.715.173,23",GBP,"2,178,270.00"
FY2026-Q1,MER-RTL-GB-0005,Meridian Store London 05,SLATE,1035,25,"411.062,99",GBP,"522,050.00"
FY2026-Q1,MER-RTL-GB-0005,Meridian Store London 05,HALO,776,20,"100.755,91",GBP,"127,960.00"
FY2026-Q2,MER-RTL-GB-0005,Meridian Store London 05,PULSE,2783,71,"1.822.314,96",GBP,"2,314,340.00"
FY2026-Q2,MER-RTL-GB-0005,Meridian Store London 05,AURA,1948,50,"1.882.960,63",GBP,"2,391,360.00"
FY2026-Q2,MER-RTL-GB-0005,Meridian Store London 05,SLATE,1113,27,"451.157,48",GBP,"572,970.00"
FY2026-Q2,MER-RTL-GB-0005,Meridian Store London 05,HALO,835,22,"110.653,54",GBP,"140,530.00"
FY2025-Q3,MER-RTL-DE-0006,Meridian Store Munich 06,AURA,1392,36,"1.504.385,32",EUR,"1,639,780.00"
FY2025-Q3,MER-RTL-DE-0006,Meridian Store Munich 06,SLATE,795,19,"360.302,75",EUR,"392,730.00"
FY2025-Q3,MER-RTL-DE-0006,Meridian Store Munich 06,HALO,596,17,"88.302,75",EUR,"96,250.00"
FY2025-Q3,MER-RTL-DE-0006,Meridian Store Munich 06,CORE,696,17,"157.715,60",EUR,"171,910.00"
FY2025-Q4,MER-RTL-DE-0006,Meridian Store Munich 06,AURA,1516,39,"1.672.880,73",EUR,"1,823,440.00"
FY2025-Q4,MER-RTL-DE-0006,Meridian Store Munich 06,SLATE,866,23,"400.743,12",EUR,"436,810.00"
FY2025-Q4,MER-RTL-DE-0006,Meridian Store Munich 06,HALO,649,18,"98.183,49",EUR,"107,020.00"
FY2025-Q4,MER-RTL-DE-0006,Meridian Store Munich 06,CORE,758,21,"175.385,32",EUR,"191,170.00"
FY2026-Q1,MER-RTL-DE-0006,Meridian Store Munich 06,AURA,1640,41,"1.847.027,52",EUR,"2,013,260.00"
FY2026-Q1,MER-RTL-DE-0006,Meridian Store Munich 06,SLATE,937,25,"442.541,28",EUR,"482,370.00"
FY2026-Q1,MER-RTL-DE-0006,Meridian Store Munich 06,HALO,702,20,"108.394,50",EUR,"118,150.00"
FY2026-Q1,MER-RTL-DE-0006,Meridian Store Munich 06,CORE,820,21,"193.642,20",EUR,"211,070.00"
FY2026-Q2,MER-RTL-DE-0006,Meridian Store Munich 06,AURA,1764,46,"2.026.816,51",EUR,"2,209,230.00"
FY2026-Q2,MER-RTL-DE-0006,Meridian Store Munich 06,SLATE,1008,25,"485.688,07",EUR,"529,400.00"
FY2026-Q2,MER-RTL-DE-0006,Meridian Store Munich 06,HALO,756,20,"119.091,74",EUR,"129,810.00"
FY2026-Q2,MER-RTL-DE-0006,Meridian Store Munich 06,CORE,882,24,"212.486,24",EUR,"231,610.00"
FY2025-Q3,MER-RTL-FR-0007,Paris Center Store,PULSE,1817,46,"1.358.247,71",EUR,"1,480,490.00"
FY2025-Q3,MER-RTL-FR-0007,Paris Center Store,SLATE,726,18,"335.954,13",EUR,"366,190.00"
FY2025-Q3,MER-RTL-FR-0007,Paris Center Store,HALO,545,16,"82.449,54",EUR,"89,870.00"
FY2025-Q3,MER-RTL-FR-0007,Paris Center Store,CORE,636,17,"147.155,96",EUR,"160,400.00"
FY2025-Q4,MER-RTL-FR-0007,Paris Center Store,PULSE,1978,49,"1.509.082,57",EUR,"1,644,900.00"
FY2025-Q4,MER-RTL-FR-0007,Paris Center Store,SLATE,791,22,"373.587,16",EUR,"407,210.00"
FY2025-Q4,MER-RTL-FR-0007,Paris Center Store,HALO,593,15,"91.559,63",EUR,"99,800.00"
FY2025-Q4,MER-RTL-FR-0007,Paris Center Store,CORE,692,20,"163.412,84",EUR,"178,120.00"
FY2026-Q1,MER-RTL-FR-0007,Paris Center Store,PULSE,2140,56,"1.665.669,72",EUR,"1,815,580.00"
FY2026-Q1,MER-RTL-FR-0007,Paris Center Store,SLATE,856,21,"412.449,54",EUR,"449,570.00"
FY2026-Q1,MER-RTL-FR-0007,Paris Center Store,HALO,642,17,"101.128,44",EUR,"110,230.00"
FY2026-Q1,MER-RTL-FR-0007,Paris Center Store,CORE,749,20,"180.449,54",EUR,"196,690.00"
FY2026-Q2,MER-RTL-FR-0007,Paris Center Store,PULSE,2301,57,"1.826.449,54",EUR,"1,990,830.00"
FY2026-Q2,MER-RTL-FR-0007,Paris Center Store,SLATE,920,23,"452.064,22",EUR,"492,750.00"
FY2026-Q2,MER-RTL-FR-0007,Paris Center Store,HALO,690,20,"110.844,04",EUR,"120,820.00"
FY2026-Q2,MER-RTL-FR-0007,Paris Center Store,CORE,805,22,"197.779,82",EUR,"215,580.00"
FY2025-Q3,MER-RTL-NL-0008,Meridian Store Tilburg 08,PULSE,1672,41,"1.275.633,03",EUR,"1,390,440.00"
FY2025-Q3,MER-RTL-NL-0008,Meridian Store Tilburg 08,AURA,1170,30,"1.317.697,25",EUR,"1,436,290.00"
FY2025-Q3,MER-RTL-NL-0008,Meridian Store Tilburg 08,HALO,501,12,"77.357,80",EUR,"84,320.00"
FY2025-Q3,MER-RTL-NL-0008,Meridian Store Tilburg 08,CORE,585,15,"138.146,79",EUR,"150,580.00"
FY2025-Q4,MER-RTL-NL-0008,Meridian Store Tilburg 08,PULSE,1821,45,"1.417.376,15",EUR,"1,544,940.00"
FY2025-Q4,MER-RTL-NL-0008,Meridian Store Tilburg 08,AURA,1274,33,"1.463.816,51",EUR,"1,595,560.00"
FY2025-Q4,MER-RTL-NL-0008,Meridian Store Tilburg 08,HALO,546,14,"86.009,17",EUR,"93,750.00"
FY2025-Q4,MER-RTL-NL-0008,Meridian Store Tilburg 08,CORE,637,18,"153.467,89",EUR,"167,280.00"
FY2026-Q1,MER-RTL-NL-0008,Meridian Store Tilburg 08,PULSE,1969,52,"1.562.917,43",EUR,"1,703,580.00"
FY2026-Q1,MER-RTL-NL-0008,Meridian Store Tilburg 08,AURA,1378,34,"1.614.660,55",EUR,"1,759,980.00"
FY2026-Q1,MER-RTL-NL-0008,Meridian Store Tilburg 08,HALO,590,15,"94.779,82",EUR,"103,310.00"
FY2026-Q1,MER-RTL-NL-0008,Meridian Store Tilburg 08,CORE,689,17,"169.275,23",EUR,"184,510.00"
FY2026-Q2,MER-RTL-NL-0008,Meridian Store Tilburg 08,PULSE,2118,55,"1.550.605,50",EUR,"1,690,160.00"
FY2026-Q2,MER-RTL-NL-0008,Meridian Store Tilburg 08,AURA,1483,37,"1.602.724,77",EUR,"1,746,970.00"
FY2026-Q2,MER-RTL-NL-0008,Meridian Store Tilburg 08,HALO,635,16,"94.082,57",EUR,"102,550.00"
FY2026-Q2,MER-RTL-NL-0008,Meridian Store Tilburg 08,CORE,741,19,"167.917,43",EUR,"183,030.00"
FY2025-Q3,MER-RTL-CN-0009,Meridian Store Shanghai 09,PULSE,1549,40,"9,386,928.57",CNY,"1,314,170.00"
FY2025-Q3,MER-RTL-CN-0009,Meridian Store Shanghai 09,AURA,1084,29,"9,697,142.86",CNY,"1,357,600.00"
FY2025-Q3,MER-RTL-CN-0009,Meridian Store Shanghai 09,SLATE,619,16,"2,322,142.86",CNY,"325,100.00"
FY2025-Q3,MER-RTL-CN-0009,Meridian Store Shanghai 09,CORE,542,15,"1,016,642.86",CNY,"142,330.00"
FY2025-Q4,MER-RTL-CN-0009,Meridian Store Shanghai 09,PULSE,1686,44,"10,419,500.00",CNY,"1,458,730.00"
FY2025-Q4,MER-RTL-CN-0009,Meridian Store Shanghai 09,AURA,1180,32,"10,765,000.00",CNY,"1,507,100.00"
FY2025-Q4,MER-RTL-CN-0009,Meridian Store Shanghai 09,SLATE,674,17,"2,578,500.00",CNY,"360,990.00"
FY2025-Q4,MER-RTL-CN-0009,Meridian Store Shanghai 09,CORE,590,17,"1,128,571.43",CNY,"158,000.00"
FY2026-Q1,MER-RTL-CN-0009,Meridian Store Shanghai 09,PULSE,1824,47,"10,396,785.71",CNY,"1,455,550.00"
FY2026-Q1,MER-RTL-CN-0009,Meridian Store Shanghai 09,AURA,1277,32,"10,745,071.43",CNY,"1,504,310.00"
FY2026-Q1,MER-RTL-CN-0009,Meridian Store Shanghai 09,SLATE,729,20,"2,572,357.14",CNY,"360,130.00"
FY2026-Q1,MER-RTL-CN-0009,Meridian Store Shanghai 09,CORE,638,16,"1,125,642.86",CNY,"157,590.00"
FY2026-Q2,MER-RTL-CN-0009,Meridian Store Shanghai 09,PULSE,1962,49,"11,418,857.14",CNY,"1,598,640.00"
FY2026-Q2,MER-RTL-CN-0009,Meridian Store Shanghai 09,AURA,1373,34,"11,796,000.00",CNY,"1,651,440.00"
FY2026-Q2,MER-RTL-CN-0009,Meridian Store Shanghai 09,SLATE,784,20,"2,824,642.86",CNY,"395,450.00"
FY2026-Q2,MER-RTL-CN-0009,Meridian Store Shanghai 09,CORE,686,19,"1,235,785.71",CNY,"173,010.00"
FY2025-Q3,MER-RTL-JP-0010,Meridian Store Osaka 10,PULSE,1442,38,"191,941,538.46",JPY,"1,247,620.00"
FY2025-Q3,MER-RTL-JP-0010,Meridian Store Osaka 10,AURA,1009,25,"198,260,000.00",JPY,"1,288,690.00"
FY2025-Q3,MER-RTL-JP-0010,Meridian Store Osaka 10,SLATE,577,16,"47,544,615.38",JPY,"309,040.00"
FY2025-Q3,MER-RTL-JP-0010,Meridian Store Osaka 10,HALO,432,10,"11,636,923.08",JPY,"75,640.00"
FY2025-Q4,MER-RTL-JP-0010,Meridian Store Osaka 10,PULSE,1570,39,"192,747,692.31",JPY,"1,252,860.00"
FY2025-Q4,MER-RTL-JP-0010,Meridian Store Osaka 10,AURA,1099,30,"199,172,307.69",JPY,"1,294,620.00"
FY2025-Q4,MER-RTL-JP-0010,Meridian Store Osaka 10,SLATE,628,16,"47,727,692.31",JPY,"310,230.00"
FY2025-Q4,MER-RTL-JP-0010,Meridian Store Osaka 10,HALO,471,12,"11,703,076.92",JPY,"76,070.00"
FY2026-Q1,MER-RTL-JP-0010,Meridian Store Osaka 10,PULSE,1699,43,"212,976,923.08",JPY,"1,384,350.00"
FY2026-Q1,MER-RTL-JP-0010,Meridian Store Osaka 10,AURA,1189,32,"220,020,000.00",JPY,"1,430,130.00"
FY2026-Q1,MER-RTL-JP-0010,Meridian Store Osaka 10,SLATE,679,19,"52,690,769.23",JPY,"342,490.00"
FY2026-Q1,MER-RTL-JP-0010,Meridian Store Osaka 10,HALO,509,12,"12,912,307.69",JPY,"83,930.00"
FY2026-Q2,MER-RTL-JP-0010,Meridian Store Osaka 10,PULSE,1827,47,"233,743,076.92",JPY,"1,519,330.00"
FY2026-Q2,MER-RTL-JP-0010,Meridian Store Osaka 10,AURA,1279,34,"241,553,846.15",JPY,"1,570,100.00"
FY2026-Q2,MER-RTL-JP-0010,Meridian Store Osaka 10,SLATE,730,18,"57,815,384.62",JPY,"375,800.00"
FY2026-Q2,MER-RTL-JP-0010,Meridian Store Osaka 10,HALO,548,15,"14,189,230.77",JPY,"92,230.00"
FY2025-Q3,MER-RTL-AU-0011,Meridian Store Sydney 11,AURA,945,24,"1,686,681.82",AUD,"1,113,210.00"
FY2025-Q3,MER-RTL-AU-0011,Meridian Store Sydney 11,SLATE,540,16,"404,181.82",AUD,"266,760.00"
FY2025-Q3,MER-RTL-AU-0011,Meridian Store Sydney 11,HALO,405,10,"99,106.06",AUD,"65,410.00"
FY2025-Q3,MER-RTL-AU-0011,Meridian Store Sydney 11,CORE,472,14,"176,636.36",AUD,"116,580.00"
FY2025-Q4,MER-RTL-AU-0011,Meridian Store Sydney 11,AURA,1029,28,"1,875,272.73",AUD,"1,237,680.00"
FY2025-Q4,MER-RTL-AU-0011,Meridian Store Sydney 11,SLATE,588,17,"449,378.79",AUD,"296,590.00"
FY2025-Q4,MER-RTL-AU-0011,Meridian Store Sydney 11,HALO,441,11,"110,181.82",AUD,"72,720.00"
FY2025-Q4,MER-RTL-AU-0011,Meridian Store Sydney 11,CORE,514,14,"196,409.09",AUD,"129,630.00"
FY2026-Q1,MER-RTL-AU-0011,Meridian Store Sydney 11,AURA,1113,27,"2,070,181.82",AUD,"1,366,320.00"
FY2026-Q1,MER-RTL-AU-0011,Meridian Store Sydney 11,SLATE,636,16,"496,075.76",AUD,"327,410.00"
FY2026-Q1,MER-RTL-AU-0011,Meridian Store Sydney 11,HALO,477,13,"121,636.36",AUD,"80,280.00"
FY2026-Q1,MER-RTL-AU-0011,Meridian Store Sydney 11,CORE,556,13,"216,833.33",AUD,"143,110.00"
FY2026-Q2,MER-RTL-AU-0011,Meridian Store Sydney 11,AURA,1197,31,"2,271,393.94",AUD,"1,499,120.00"
FY2026-Q2,MER-RTL-AU-0011,Meridian Store Sydney 11,SLATE,684,17,"544,303.03",AUD,"359,240.00"
FY2026-Q2,MER-RTL-AU-0011,Meridian Store Sydney 11,HALO,513,12,"133,454.55",AUD,"88,080.00"
FY2026-Q2,MER-RTL-AU-0011,Meridian Store Sydney 11,CORE,598,14,"237,924.24",AUD,"157,030.00"
FY2025-Q3,MER-RTL-US-0012,Meridian Store Chicago 12,PULSE,1268,31,"US$1,033,170.00",USD,"1,033,170.00"
FY2025-Q3,MER-RTL-US-0012,Meridian Store Chicago 12,SLATE,507,14,"US$255,730.00",USD,"255,730.00"
FY2025-Q3,MER-RTL-US-0012,Meridian Store Chicago 12,HALO,380,12,"US$62,660.00",USD,"62,660.00"
FY2025-Q3,MER-RTL-US-0012,Meridian Store Chicago 12,CORE,443,11,"US$111,720.00",USD,"111,720.00"
FY2025-Q4,MER-RTL-US-0012,Meridian Store Chicago 12,PULSE,1381,37,"US$1,148,440.00",USD,"1,148,440.00"
FY2025-Q4,MER-RTL-US-0012,Meridian Store Chicago 12,SLATE,552,15,"US$284,170.00",USD,"284,170.00"
FY2025-Q4,MER-RTL-US-0012,Meridian Store Chicago 12,HALO,414,13,"US$69,680.00",USD,"69,680.00"
FY2025-Q4,MER-RTL-US-0012,Meridian Store Chicago 12,CORE,483,12,"US$124,320.00",USD,"124,320.00"
FY2026-Q1,MER-RTL-US-0012,Meridian Store Chicago 12,PULSE,1493,40,"US$1,266,660.00",USD,"1,266,660.00"
FY2026-Q1,MER-RTL-US-0012,Meridian Store Chicago 12,SLATE,597,15,"US$313,540.00",USD,"313,540.00"
FY2026-Q1,MER-RTL-US-0012,Meridian Store Chicago 12,HALO,448,14,"US$76,920.00",USD,"76,920.00"
FY2026-Q1,MER-RTL-US-0012,Meridian Store Chicago 12,CORE,522,13,"US$137,080.00",USD,"137,080.00"
FY2026-Q2,MER-RTL-US-0012,Meridian Store Chicago 12,PULSE,1606,42,"US$1,389,510.00",USD,"1,389,510.00"
FY2026-Q2,MER-RTL-US-0012,Meridian Store Chicago 12,SLATE,642,17,"US$343,860.00",USD,"343,860.00"
FY2026-Q2,MER-RTL-US-0012,Meridian Store Chicago 12,HALO,482,15,"US$84,400.00",USD,"84,400.00"
FY2026-Q2,MER-RTL-US-0012,Meridian Store Chicago 12,CORE,562,17,"US$150,500.00",USD,"150,500.00"
FY2025-Q3,MER-RTL-US-0013,Boston Flagship Store,PULSE,1196,32,"994,590.00",USD,"994,590.00"
FY2025-Q3,MER-RTL-US-0013,Boston Flagship Store,AURA,837,21,"1,027,500.00",USD,"1,027,500.00"
FY2025-Q3,MER-RTL-US-0013,Boston Flagship Store,HALO,358,10,"60,250.00",USD,"60,250.00"
FY2025-Q3,MER-RTL-US-0013,Boston Flagship Store,CORE,418,12,"107,590.00",USD,"107,590.00"
FY2025-Q4,MER-RTL-US-0013,Boston Flagship Store,PULSE,1302,33,"1,104,620.00",USD,"1,104,620.00"
FY2025-Q4,MER-RTL-US-0013,Boston Flagship Store,AURA,911,22,"1,140,940.00",USD,"1,140,940.00"
FY2025-Q4,MER-RTL-US-0013,Boston Flagship Store,HALO,390,9,"66,960.00",USD,"66,960.00"
FY2025-Q4,MER-RTL-US-0013,Boston Flagship Store,CORE,455,12,"119,480.00",USD,"119,480.00"
FY2026-Q1,MER-RTL-US-0013,Boston Flagship Store,PULSE,1408,35,"1,218,200.00",USD,"1,218,200.00"
FY2026-Q1,MER-RTL-US-0013,Boston Flagship Store,AURA,986,24,"1,259,320.00",USD,"1,259,320.00"
FY2026-Q1,MER-RTL-US-0013,Boston Flagship Store,HALO,422,10,"73,890.00",USD,"73,890.00"
FY2026-Q1,MER-RTL-US-0013,Boston Flagship Store,CORE,493,15,"132,030.00",USD,"132,030.00"
FY2026-Q2,MER-RTL-US-0013,Boston Flagship Store,PULSE,1515,37,"1,208,970.00",USD,"1,208,970.00"
FY2026-Q2,MER-RTL-US-0013,Boston Flagship Store,AURA,1060,27,"1,248,680.00",USD,"1,248,680.00"
FY2026-Q2,MER-RTL-US-0013,Boston Flagship Store,HALO,454,11,"73,320.00",USD,"73,320.00"
FY2026-Q2,MER-RTL-US-0013,Boston Flagship Store,CORE,530,15,"130,910.00",USD,"130,910.00"
FY2025-Q3,MER-RTL-US-0014,Meridian Store Miami 14,PULSE,1131,28,"959,540.00",USD,"959,540.00"
FY2025-Q3,MER-RTL-US-0014,Meridian Store Miami 14,AURA,792,19,"991,900.00",USD,"991,900.00"
FY2025-Q3,MER-RTL-US-0014,Meridian Store Miami 14,SLATE,452,12,"237,390.00",USD,"237,390.00"
FY2025-Q3,MER-RTL-US-0014,Meridian Store Miami 14,CORE,396,9,"103,990.00",USD,"103,990.00"
FY2025-Q4,MER-RTL-US-0014,Meridian Store Miami 14,PULSE,1232,30,"1,065,930.00",USD,"1,065,930.00"
FY2025-Q4,MER-RTL-US-0014,Meridian Store Miami 14,AURA,862,22,"1,100,950.00",USD,"1,100,950.00"
FY2025-Q4,MER-RTL-US-0014,Meridian Store Miami 14,SLATE,492,14,"263,520.00",USD,"263,520.00"
FY2025-Q4,MER-RTL-US-0014,Meridian Store Miami 14,CORE,431,11,"115,420.00",USD,"115,420.00"
FY2026-Q1,MER-RTL-US-0014,Meridian Store Miami 14,PULSE,1332,36,"1,062,940.00",USD,"1,062,940.00"
FY2026-Q1,MER-RTL-US-0014,Meridian Store Miami 14,AURA,933,23,"1,099,070.00",USD,"1,099,070.00"
