NOTIFICATION_ID,NOTIF_TYPE,CREATED_DATE,SUPPLIER,PART_NUMBER,PART_DESCRIPTION,LOT_NUMBER,PO_REFERENCE,QTY_INSPECTED,QTY_REJECTED,DEFECT_CODE,DEFECT_DESCRIPTION,SEVERITY,DISPOSITION,INSPECTION_SITE,STATUS,CLOSED_DATE
QN-025-04024,INCOMING_INSPECTION,2025-06-23,"Ulsan Precision Industry Co., Ltd.",CMP-BAT-0146,Li-ion battery pack 047,LOT-202506-58,,11600,20,DEF-PKG-05,packaging damaged in transit,MINOR,USE_AS_IS,MER-DC-DE-01,CLOSED,2025-07-29
QN-025-04025,INCOMING_INSPECTION,2025-06-30,"Suwon Components Co., Ltd.",CMP-CBL-0393,flex ribbon cable 294,LOT-202506-75,4500087350,5100,10,DEF-COSM-02,cosmetic scratch beyond spec,MINOR,REWORK,MER-DC-CN-01,CLOSED,2025-08-06
QN-025-04026,SUPPLIER_COMPLAINT,2025-07-07,Fukuoka Tooling Industrial Corp.,CMP-ADH-0240,structural adhesive 141,LOT-202507-92,4500088205,16700,55,DEF-PKG-05,packaging damaged in transit,MINOR,USE_AS_IS,MER-DC-CN-02,CLOSED,2025-08-14
QN-025-04027,SCAR,2025-07-14,Hailong Acoustics Industrial Corp.,CMP-FST-0488,torx screw 389,LOT-202507-19,,12850,10,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,SCRAP,MER-DC-JP-01,CLOSED,2025-08-22
QN-025-04028,INCOMING_INSPECTION,2025-07-21,Chengdu Skylark Display Joint Stock Company,CMP-ENC-0134,machined housing 035,LOT-202507-36,,4350,15,DEF-SOLDER-01,cold solder joint on connector,MINOR,REWORK,MER-DC-GB-01,CLOSED,2025-08-30
QN-025-04029,INCOMING_INSPECTION,2025-07-28,Hue  Amber Acoustics Industrial Corp,CMP-CBL-0185,flex ribbon cable 086,LOT-202507-53,,13300,290,DEF-ELEC-04,fails electrical continuity test,CRITICAL,SCRAP,MER-DC-MX-01,CLOSED,2025-09-07
QN-025-04030,SUPPLIER_COMPLAINT,2025-08-04,Ningbo Anchor Tooling Corporation,CMP-PCB-0268,main logic board assembly 169,LOT-202508-70,4500087732,18850,30,DEF-ELEC-04,fails electrical continuity test,MINOR,RETURN_TO_VENDOR,MER-DC-SG-01,CLOSED,2025-08-16
QN-025-04031,SCAR,2025-08-11,"ZHUHAI CORAL ACOUSTICS INDUSTRY CO., LTD.",CMP-DSP-0315,OLED display module 216,LOT-202508-87,4500087715,5050,15,DEF-COSM-02,cosmetic scratch beyond spec,MINOR,USE_AS_IS,MER-3PL-US-01,CLOSED,2025-08-24
QN-025-04032,INCOMING_INSPECTION,2025-08-18,"Hangzhou Lake Display Industry Co., Ltd.",MRO-GEN-0708,maintenance supply item 08,LOT-202508-14,,2850,5,DEF-DIM-03,dimension out of tolerance,MINOR,RETURN_TO_VENDOR,MER-3PL-PL-02,CLOSED,2025-09-01
QN-025-04033,INCOMING_INSPECTION,2025-08-25,"Zhongshan Circuit Co., Ltd.",CMP-CBL-0409,flex ribbon cable 302,LOT-202508-31,,18350,170,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,REWORK,MER-3PL-MY-03,CLOSED,2025-09-09
QN-025-04034,SUPPLIER_COMPLAINT,2025-09-01,Long An Microsystems Industrial Corp.,CMP-ADH-0256,structural adhesive 149,LOT-202509-48,,11850,165,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-DC-US-01,CLOSED,2025-09-17
QN-025-04035,SCAR,2025-09-08,Pusan Metalworks Industrial Corp.,CMP-FST-0504,torx screw 405,LOT-202509-65,4500087029,18850,480,DEF-ELEC-04,fails electrical continuity test,CRITICAL,REWORK,MER-DC-US-02,CLOSED,2025-09-25
QN-025-04036,INCOMING_INSPECTION,2025-09-15,Toyohashi Gear Microsystems Industrial Corp.,CMP-ENC-0206,machined housing 107,LOT-202509-82,,4500,80,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,REWORK,MER-DC-US-03,CLOSED,2025-10-03
QN-025-04037,INCOMING_INSPECTION,2025-09-22,HSINCHU CIRCUIT,CMP-CAM-0437,camera module 338,LOT-202509-99,,19750,355,DEF-PKG-05,packaging damaged in transit,MAJOR,SCRAP,MER-DC-US-04,CLOSED,2025-10-11
QN-025-04038,SUPPLIER_COMPLAINT,2025-09-29,Yokohama Kiyo Microsystems,CMP-PCB-0284,main logic board assembly 185,LOT-202509-26,,4450,50,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-DC-US-05,CLOSED,2025-10-19
QN-025-04039,SCAR,2025-10-06,"Daegu Metalworks Industry Co., Ltd.",CMP-DSP-0131,OLED display module 032,LOT-202510-43,,1150,20,DEF-DIM-03,dimension out of tolerance,CRITICAL,SCRAP,MER-DC-US-06,CLOSED,2025-10-27
QN-025-04040,INCOMING_INSPECTION,2025-10-13,"Kobe Mira Optics Industry Co., Ltd.",CMP-BAT-0178,Li-ion battery pack 079,LOT-202510-60,4500087407,16950,70,DEF-SOLDER-01,cold solder joint on connector,MINOR,REWORK,MER-DC-NL-01,CLOSED,2025-11-04
QN-025-04041,INCOMING_INSPECTION,2025-10-20,"Pingtung Energy Co., Ltd.",CMP-CBL-0425,flex ribbon cable 326,LOT-202510-77,4500087377,12550,145,DEF-DIM-03,dimension out of tolerance,MAJOR,USE_AS_IS,MER-DC-DE-01,CLOSED,2025-11-12
QN-025-04042,SUPPLIER_COMPLAINT,2025-10-27,Nagoya Polymer Industrial Corp.,CMP-ADH-0272,structural adhesive 173,LOT-202510-94,,16300,25,DEF-DIM-03,dimension out of tolerance,MINOR,USE_AS_IS,MER-DC-CN-01,CLOSED,2025-11-20
QN-025-04043,SCAR,2025-11-03,Wuxi Crane Electronics Industrial Corp.,CMP-FST-0319,TORX SCREW 212,LOT-202511-21,,16750,65,DEF-SOLDER-01,cold solder joint on connector,MINOR,USE_AS_IS,MER-DC-CN-02,CLOSED,2025-11-28
QN-025-04044,INCOMING_INSPECTION,2025-11-10,Taoyuan Optics (Metro),CMP-ENC-0206,machined housing 107,LOT-202511-38,,5950,365,DEF-SWELL-06,cell pouch deformation observed,CRITICAL,RETURN_TO_VENDOR,MER-DC-JP-01,CLOSED,2025-12-06
QN-025-04045,INCOMING_INSPECTION,2025-11-17,Xiamen Harbor Energy Inc.,CMP-CAM-0454,camera module 355,LOT-202511-55,4500089901,12600,135,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,SCRAP,MER-DC-GB-01,CLOSED,2025-12-14
QN-025-04046,SUPPLIER_COMPLAINT,2025-11-24,Foshan Ridge Polymer Corporation,CMP-PCB-0300,main logic board assembly 201,LOT-202511-72,4500089550,17200,70,DEF-PKG-05,packaging damaged in transit,MINOR,REWORK,MER-DC-MX-01,CLOSED,2025-12-22
QN-025-04047,SCAR,2025-12-01,"Tianjin Gate Electronics Industry Co., Ltd.",CMP-DSP-0347,OLED display module 248,LOT-202512-89,,14250,65,DEF-PKG-05,packaging damaged in transit,MAJOR,RETURN_TO_VENDOR,MER-DC-SG-01,CLOSED,2025-12-30
QN-025-04048,INCOMING_INSPECTION,2025-12-08,"Quang Nam Precision Industry Co., Ltd.",CMP-BAT-0194,Li-ion battery pack 095,LOT-202512-16,,12550,10,DEF-PKG-05,packaging damaged in transit,MINOR,SCRAP,MER-3PL-US-01,CLOSED,2026-01-07
QN-025-04049,INCOMING_INSPECTION,2025-12-15,"Kunshan Components Co., Ltd.",CMP-CBL-0441,flex ribbon cable 342,LOT-202512-33,,7450,10,DEF-ELEC-04,fails electrical continuity test,MINOR,SCRAP,MER-3PL-PL-02,CLOSED,2026-01-15
QN-025-04050,SUPPLIER_COMPLAINT,2025-12-22,Gumi Tooling Industrial Corp.,CMP-ADH-0288,structural adhesive 189,LOT-202512-50,4500087684,15450,220,DEF-SWELL-06,cell pouch deformation observed,MAJOR,RETURN_TO_VENDOR,MER-3PL-MY-03,CLOSED,2026-01-23
QN-025-04051,SCAR,2025-12-29,Suzhou Brightway Electronics Industrial Corp.,CMP-FST-0375,torx screw 276,LOT-202512-67,4500089499,13850,145,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-DC-US-01,CLOSED,2026-01-31
QN-026-04052,INCOMING_INSPECTION,2026-01-05,Osaka Meiwa Precision (Metro),CMP-ENC-0422,machined housing 323,LOT-202601-84,,4700,20,DEF-SWELL-06,cell pouch deformation observed,MAJOR,SCRAP,MER-DC-US-02,CLOSED,2026-02-08
QN-026-04053,INCOMING_INSPECTION,2026-01-12,Sendai Components Inc.,CMP-CAM-0470,camera module 371,LOT-202601-11,,10200,480,DEF-PKG-05,packaging damaged in transit,CRITICAL,USE_AS_IS,MER-DC-US-03,CLOSED,2026-02-16
QN-026-04054,SUPPLIER_COMPLAINT,2026-01-19,Nara Tooling Corporation,CMP-PCB-0116,main logic board assembly 017,LOT-202601-28,,3350,105,DEF-SOLDER-01,cold solder joint on connector,CRITICAL,RETURN_TO_VENDOR,MER-DC-US-04,CLOSED,2026-02-24
QN-026-04055,SCAR,2026-01-26,"Miaoli Acoustics Industry Co., Ltd.",CMP-DSP-0363,OLED DISPLAY MODULE 264,LOT-202601-45,4500087759,11550,155,DEF-SOLDER-01,cold solder joint on connector,MAJOR,USE_AS_IS,MER-DC-US-05,CLOSED,2026-03-04
QN-026-04056,INCOMING_INSPECTION,2026-02-02,"Yilan Display Industry Co., Ltd.",CMP-BAT-0210,Li-ion battery pack 111,LOT-202602-62,4500087727,2550,0,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,REWORK,MER-DC-US-06,CLOSED,2026-03-12
QN-026-04057,INCOMING_INSPECTION,2026-02-09,"Ningbo Anchor Circuit Co., Ltd.",CMP-CBL-0257,flex ribbon cable 158,LOT-202602-79,,11950,15,DEF-ELEC-04,fails electrical continuity test,MINOR,USE_AS_IS,MER-DC-NL-01,CLOSED,2026-03-20
QN-026-04058,SUPPLIER_COMPLAINT,2026-02-16,Zhangzhou Reed Display,CMP-ADH-0272,structural adhesive 173,LOT-202602-96,,13900,45,DEF-ELEC-04,fails electrical continuity test,MINOR,USE_AS_IS,MER-DC-DE-01,OPEN,NULL
QN-026-04059,SCAR,2026-02-23,Hanoi Lotus Acoustics Industrial Corp.,MRO-GEN-0721,maintenance supply item 21,LOT-202602-23,,6550,250,DEF-ELEC-04,fails electrical continuity test,CRITICAL,RETURN_TO_VENDOR,MER-DC-CN-01,CLOSED,2026-04-05
QN-026-04060,INCOMING_INSPECTION,2026-03-02,Qingdao Pearl Display Joint Stock Company,CMP-ENC-0238,machined housing 131,LOT-202603-40,4500089855,4700,10,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,REWORK,MER-DC-CN-02,CLOSED,2026-03-14
QN-026-04061,INCOMING_INSPECTION,2026-03-09,Hefei Summit Circuit Inc.,CMP-CAM-0486,camera module 387,LOT-202603-57,4500089617,6900,5,DEF-SOLDER-01,cold solder joint on connector,MINOR,USE_AS_IS,MER-DC-JP-01,CLOSED,2026-03-22
QN-026-04062,SUPPLIER_COMPLAINT,2026-03-16,Vinh Phuc Microsystems Corporation,CMP-PCB-0132,main logic board assembly 033,LOT-202603-74,,19200,15,DEF-SOLDER-01,cold solder joint on connector,MINOR,USE_AS_IS,MER-DC-GB-01,OPEN,NULL
QN-026-04063,SCAR,2026-03-23,"Cheonan Metalworks Industry Co., Ltd.",CMP-DSP-0379,OLED DISPLAY MODULE 280,LOT-202603-91,,900,0,DEF-ELEC-04,fails electrical continuity test,MAJOR,REWORK,MER-DC-MX-01,OPEN,
QN-026-04064,INCOMING_INSPECTION,2026-03-30,"Hsinchu Optics Industry Co., Ltd.",CMP-BAT-0426,Li-ion battery pack 327,LOT-202603-18,,5050,60,DEF-COSM-02,cosmetic scratch beyond spec,CRITICAL,USE_AS_IS,MER-DC-SG-01,CLOSED,2026-04-15
QN-026-04065,INCOMING_INSPECTION,2026-04-06,Bac Ninh Crown Metalworks Industry Co Ltd,CMP-CAM-0293,camera module 194,LOT-202604-35,,3900,10,DEF-ELEC-04,fails electrical continuity test,MINOR,USE_AS_IS,MER-3PL-US-01,OPEN,N/A
QN-026-04066,SUPPLIER_COMPLAINT,2026-04-13,Dongguan Rixin Microsystems Industrial Corp.,CMP-ADH-0160,structural adhesive 061,LOT-202604-52,4500088599,17700,240,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-3PL-PL-02,OPEN,
QN-026-04067,SCAR,2026-04-20,Tainan  Metalworks Industrial Corp.,CMP-FST-0407,torx screw 308,LOT-202604-69,,14550,375,DEF-SWELL-06,cell pouch deformation observed,CRITICAL,SCRAP,MER-3PL-MY-03,CLOSED,2026-05-09
QN-026-04068,INCOMING_INSPECTION,2026-04-27,Kyoto Hana Optics Joint Stock Company,CMP-ENC-0254,machined housing 155,LOT-202604-86,,10300,5,DEF-ELEC-04,fails electrical continuity test,MINOR,REWORK,MER-DC-US-01,CLOSED,2026-05-17
QN-026-04069,INCOMING_INSPECTION,2026-05-04,Chiayi Energy Inc.,CMP-CAM-0101,camera module 002,LOT-202605-13,,18650,55,DEF-COSM-02,cosmetic scratch beyond spec,MINOR,RETURN_TO_VENDOR,MER-DC-US-02,OPEN,
QN-026-04070,SUPPLIER_COMPLAINT,2026-05-11,Jiaxing Polymer Corporation,CMP-PCB-0148,main logic board assembly 041,LOT-202605-30,4500089254,15700,60,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,REWORK,MER-DC-US-03,OPEN,NULL
QN-026-04071,SCAR,2026-05-18,"Taoyuan Electronics Industry Co., Ltd.",MRO-GEN-0709,maintenance supply item 09,LOT-202605-47,4500089501,5350,60,DEF-PKG-05,packaging damaged in transit,MAJOR,RETURN_TO_VENDOR,MER-DC-US-04,OPEN,N/A
QN-026-04072,INCOMING_INSPECTION,2026-05-25,"Xiamen Harbor Precision Industry Co., Ltd.",CMP-BAT-0242,Li-ion battery pack 143,LOT-202605-64,,19150,15,DEF-SOLDER-01,cold solder joint on connector,MINOR,SCRAP,MER-DC-US-05,OPEN,
QN-026-04073,INCOMING_INSPECTION,2026-06-01,"VOLTA ENERGY CO., LTD.",CMP-CBL-0129,flex ribbon cable 030,LOT-202606-81,,15400,325,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,SCRAP,MER-DC-US-06,CLOSED,2026-06-26
QN-026-04074,SUPPLIER_COMPLAINT,2026-06-08,Da Nang Polymer Industrial Corp.,CMP-ADH-0176,structural adhesive 077,LOT-202606-98,,10100,10,DEF-COSM-02,cosmetic scratch beyond spec,MINOR,REWORK,MER-DC-NL-01,CLOSED,2026-07-04
QN-025-04075,SCAR,2025-01-11,Haiphong Electronics Industrial Corp.,CMP-FST-0423,torx screw 324,LOT-202501-25,4500087490,8250,200,DEF-SOLDER-01,cold solder joint on connector,CRITICAL,RETURN_TO_VENDOR,MER-DC-DE-01,CLOSED,2025-02-07
QN-025-04076,INCOMING_INSPECTION,2025-01-18,Can Tho Precision Joint Stock Company,CMP-ENC-0270,machined housing 171,LOT-202501-42,4500088249,14550,55,DEF-PKG-05,packaging damaged in transit,MINOR,SCRAP,MER-DC-CN-01,CLOSED,2025-02-15
QN-025-04077,INCOMING_INSPECTION,2025-01-25,Jeonju Components Inc.,CMP-CAM-0518,camera module 411,LOT-202501-59,,1700,25,DEF-PKG-05,packaging damaged in transit,MAJOR,USE_AS_IS,MER-DC-CN-02,CLOSED,2025-02-23
QN-025-04078,SUPPLIER_COMPLAINT,2025-02-01,Suzhou Brightway Tooling Corporation,CMP-PCB-0164,main logic board assembly 065,LOT-202502-76,,8300,10,DEF-PKG-05,packaging damaged in transit,MINOR,SCRAP,MER-DC-JP-01,CLOSED,2025-03-03
QN-025-04079,SCAR,2025-02-08,"Osaka Meiwa Acoustics Industry Co., Ltd.",CMP-DSP-0411,OLED DISPLAY MODULE 312,LOT-202502-93,,9150,25,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,SCRAP,MER-DC-GB-01,CLOSED,2025-03-11
QN-025-04080,INCOMING_INSPECTION,2025-02-15,"Hailong Precision Industry Co, Ltd",CMP-DSP-0451,6.7-inch OLED display module,LOT-202502-20,4500087371,9100,120,DEF-DIM-03,dimension out of tolerance,MAJOR,SCRAP,MER-DC-MX-01,CLOSED,2025-03-19
QN-025-04081,INCOMING_INSPECTION,2025-02-22,"Chengdu Skylark Components Co., Ltd.",CMP-CBL-0345,flex ribbon cable 246,LOT-202502-37,4500089939,18950,360,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,REWORK,MER-DC-SG-01,CLOSED,2025-03-27
QN-025-04082,SUPPLIER_COMPLAINT,2025-03-01,KAOHSIUNG TOOLING,CMP-ADH-0192,structural adhesive 093,LOT-202503-54,,8200,155,DEF-DIM-03,dimension out of tolerance,MAJOR,REWORK,MER-3PL-US-01,CLOSED,2025-04-04
QN-025-04083,SCAR,2025-03-08,Keelung Acoustics Industrial Corp.,CMP-FST-0439,torx screw 340,LOT-202503-71,,3950,25,DEF-ELEC-04,fails electrical continuity test,MAJOR,SCRAP,MER-3PL-PL-02,CLOSED,2025-04-12
QN-025-04084,INCOMING_INSPECTION,2025-03-15,Changshu Display Joint Stock Company,CMP-ENC-0286,machined housing 187,LOT-202503-88,,13000,145,DEF-ELEC-04,fails electrical continuity test,MAJOR,USE_AS_IS,MER-3PL-MY-03,CLOSED,2025-04-20
QN-025-04085,INCOMING_INSPECTION,2025-03-22,Nantong Circuit Inc.,CMP-CAM-0333,camera module 234,LOT-202503-15,4500087995,4100,220,DEF-PKG-05,packaging damaged in transit,CRITICAL,USE_AS_IS,MER-DC-US-01,CLOSED,2025-04-28
QN-025-04086,SUPPLIER_COMPLAINT,2025-03-29,Hanoi Lotus Microsystems Corporation,CMP-PCB-0180,MAIN LOGIC BOARD ASSEMBLY 081,LOT-202503-32,4500089391,1100,0,DEF-COSM-07,cosmetic scratch beyond spec,MINOR,SCRAP,MER-DC-US-02,CLOSED,2025-05-06
QN-025-04087,SCAR,2025-04-05,Changwon Delta Circuit Inc.,CMP-FST-0359,torx screw 260,LOT-202504-49,,11500,170,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,SCRAP,MER-DC-US-03,CLOSED,2025-05-14
QN-025-04088,INCOMING_INSPECTION,2025-04-12,Pusan Display Industry Co. Ltd,CMP-BAT-0314,Li-ion battery pack 215,LOT-202504-66,,3500,5,DEF-SOLDER-01,cold solder joint on connector,MINOR,REWORK,MER-DC-US-04,CLOSED,2025-05-22
QN-025-04089,INCOMING_INSPECTION,2025-04-19,Incheon Circuit,CMP-CBL-0361,flex ribbon cable 262,LOT-202504-83,,6050,45,DEF-COSM-02,cosmetic scratch beyond spec,MAJOR,RETURN_TO_VENDOR,MER-DC-US-05,CLOSED,2025-05-30
QN-025-04090,SUPPLIER_COMPLAINT,2025-04-26,Binh Duong Microsystems Industrial Corp.,CMP-ADH-0208,structural adhesive 109,LOT-202504-10,4500089882,16100,245,DEF-DIM-03,dimension out of tolerance,CRITICAL,REWORK,MER-DC-US-06,CLOSED,2025-05-08
QN-025-04091,SCAR,2025-05-03,Gwangju Metalworks Industrial Corp.,CMP-FST-0456,torx screw 357,LOT-202505-27,4500087858,17650,55,DEF-SWELL-06,cell pouch deformation observed,MINOR,RETURN_TO_VENDOR,MER-DC-NL-01,CLOSED,2025-05-16
QN-025-04092,INCOMING_INSPECTION,2025-05-10,Sapporo Optics Joint Stock Company,CMP-ENC-0503,machined housing 404,LOT-202505-44,,7450,365,DEF-SWELL-06,cell pouch deformation observed,CRITICAL,USE_AS_IS,MER-DC-DE-01,CLOSED,2025-05-24
QN-025-04093,INCOMING_INSPECTION,2025-05-17,Dongguan Rixin Energy Inc.,CMP-CAM-0349,camera module 250,LOT-202505-61,,16250,480,DEF-COSM-02,cosmetic scratch beyond spec,CRITICAL,USE_AS_IS,MER-DC-CN-01,CLOSED,2025-06-01
QN-025-04094,SUPPLIER_COMPLAINT,2025-05-24,QUANZHOU APEX OPTICS ,CMP-PCB-0380,main logic board assembly 281,LOT-202505-78,,7100,100,DEF-COSM-07,cosmetic scratch beyond spec,MAJOR,REWORK,MER-DC-CN-02,CLOSED,2025-06-09
QN-025-04095,SCAR,2025-05-31,Nagoya Metalworks Industry Co. Ltd,CMP-DSP-0484,OLED display module 385,LOT-202505-95,4500087980,18600,110,DEF-ELEC-04,fails electrical continuity test,MAJOR,SCRAP,MER-DC-JP-01,CLOSED,2025-06-17
