TICKET_ID,CREATED_TS,CHANNEL,CUSTOMER_COUNTRY,PRODUCT_DESCRIPTION_RAW,SERIAL_NUMBER,PURCHASE_STORE,ISSUE_CATEGORY,SUBJECT,DESCRIPTION,STATUS,RESOLUTION_CODE,RESOLVED_DATE,CSAT_SCORE
TCK-300019,2025-08-11T16:13:00+08:00,CHAT,DE,core band 2 black,CRBN250461X,,OTHER,Other issue with Core Band 2 Black,Our IT team sees the device rattling when shaken on multiple units we deployed.,IN_PROGRESS,REPLACED,2025-08-14,3
TCK-300020,2025-08-14T17:20:00-07:00,CHAT,GB,Meridian Core Kids Silver,CRKID58380Y,,SHIPPING_DAMAGE,Shipping Damage issue with Core Kids Silver,My core kids silver stopped dented on arrival after the last update. I bought it at the store and it is only 21 months old.,NEW,NO_FAULT_FOUND,2025-08-18,1
TCK-300021,2025-08-17T18:27:00+01:00,EMAIL,CA,Pulse7Pro128GBBlack 128,PLS7P66299Z,Meridian Store Vancouver 52,BATTERY,Battery issue with Pulse 7 Pro 128GB Black,Device draining within two hours. Serial sticker is worn but it is a Meridian Pulse 7 Pro 128GB Black.,CLOSED,,NULL,4
TCK-300022,2025-08-20T08:34:00+09:00,STORE,US,my meridian phone,PLS8P74218A,,SHIPPING_DAMAGE,Shipping Damage issue with Pulse 8 Pro 128GB Silver,Our IT team sees the Pulse8Pro128GBSilver 128 missing accessories on multiple units we deployed.,NEW,REPAIRED,2025-08-26,2
TCK-300023,2025-08-20T08:34:00+09:00,CHAT,US,pullse 9 128gb blue,PLS9082137B,,DISPLAY,Display issue with Pulse 9 128GB Blue,"Hello, my my meridian phone has been showing green lines since last week. Very disappointed.",RESOLVED,REPLACED,2025-08-27,5
TCK-300024,2025-08-26T10:48:00Z,CHAT,US,pulse 9 ultra 256gb black,,,SOFTWARE,Software issue with Pulse 9 Ultra 256GB Black,Customer reports freezing on the lock screen on a pullse 9 ultra 256gb black. The unit seems to be the cause.,IN_PROGRESS,REPLACED,2025-09-03,
TCK-300025,2025-08-29T11:55:00+08:00,STORE,DE,Meridian Pulse X Fold 256GB Silver,PLSXF97975D,,AUDIO,Audio issue with Pulse X Fold 256GB Silver,I went back to the store but they redirected me here. The pulse x fold 256gb silver is producing static.,CLOSED,REFUND,2025-09-07,1
TCK-300026,2025-09-01T12:02:00-07:00,PHONE,GB,,PLS6P05894E,,SOFTWARE,Software issue with Pulse 6 Pro 256GB Blue,Meridian Pulse 6 Pro 256GB Blue rebooting in a loop during normal use. Requesting a replacement unit.,RESOLVED,,N/A,4
TCK-300027,2025-09-04T13:09:00+01:00,STORE,CA,my meridian laptop,ARA1513813F,,CONNECTIVITY,Connectivity issue with Aura 15 128GB Black,The Aura15128GBBlack 128 I purchased keeps failing to pair. Please advise on warranty options.,RESOLVED,REPLACED,2025-09-06,2
TCK-300028,2025-09-07T14:16:00+09:00,CHAT,US,aura 16 128gb silver,ARA1621732G,Meridian Store Portland 39,AUDIO,Audio issue with Aura 16 128GB Silver,My my meridian laptop stopped crackling at high volume after the last update. I bought it at Meridian Store Portland 39 and it is only 6 months old.,RESOLVED,REPAIRED,2025-09-10,5
TCK-300029,2025-09-10T15:23:00-05:00,EMAIL,US,aura studio 128gb blue,ARAST29651H,,BATTERY,Battery issue with Aura Studio 128GB Blue,After charging overnight the aura studio 128gb blue started shutting down at 30%. The unit feels warm.,CLOSED,NO_FAULT_FOUND,2025-09-14,3
TCK-300030,2025-09-13T16:30:00Z,EMAIL,US,Meridian Aura 13 Pro 256GB Black,ARA1337570K,,AUDIO,Audio issue with Aura 13 Pro 256GB Black,"Hello, my aura 13 pro 256gb black has been crackling at high volume since last week. Very disappointed.",IN_PROGRESS,NO_FAULT_FOUND,2025-09-18,
TCK-300031,2025-09-16T17:37:00+08:00,STORE,US,Slate8256GBSilver 256,SLT8045489M,,CONNECTIVITY,Connectivity issue with Slate 8 256GB Silver,After charging overnight the Meridian Slate 8 256GB Silver started losing 5G signal. The antenna feels warm.,RESOLVED,,,4
TCK-300032,2025-09-19T18:44:00-07:00,EMAIL,AU,my meridian tablet,SLT1053408N,,SOFTWARE,Software issue with Slate 10 256GB Blue,Device freezing on the lock screen. Serial sticker is worn but it is a Slate10256GBBlue 256.,IN_PROGRESS,REFUND,2025-09-26,2
TCK-300033,2025-09-22T08:51:00+01:00,STORE,CA,slate mini 128gb black,SLTMN61327P,,DISPLAY,Display issue with Slate Mini 128GB Black,My my meridian tablet stopped going black randomly after the last update. I bought it at the store and it is only 11 months old.,CLOSED,REPAIRED,2025-09-30,5
TCK-300034,2025-09-25T09:58:00+09:00,CHAT,US,slate kids 128gb silver,SLTKD69246Q,,BATTERY,Battery issue with Slate Kids 128GB Silver,Gift for my daughter — the slate kids 128gb silver arrived draining within two hours. Box was intact.,RESOLVED,REPAIRED,2025-10-04,NULL
TCK-300035,2025-09-28T10:05:00-05:00,EMAIL,US,Meridian Halo Buds 2 Pro Silver,HLOB277165R,Meridian Store Denver 26,BATTERY,Battery issue with Halo Buds 2 Pro Silver,I went back to Meridian Store Denver 26 but they redirected me here. The halo buds 2 pro silver is not holding a charge.,RESOLVED,REPAIRED,2025-10-08,1
TCK-300036,2025-10-01T11:12:00Z,PHONE,US,HaloSoundbarBlue,,,AUDIO,Audio issue with Halo Soundbar Blue,"Hello, my Meridian Halo Soundbar Blue has been losing the left channel since last week. Very disappointed.",IN_PROGRESS,,NULL,
TCK-300037,2025-10-04T12:19:00+08:00,CHAT,US,my meridian speaker,HLOA193003T,,AUDIO,Audio issue with Halo Arc Green,After charging overnight the device started losing the left channel. The unit feels warm.,IN_PROGRESS,REPLACED,2025-10-07,2
TCK-300038,2025-10-07T13:26:00-07:00,EMAIL,AU,core watch 2 black,CRW2000922U,,BATTERY,Battery issue with Core Watch 2 Black,My device stopped draining within two hours after the last update. I bought it at the store and it is only 16 months old.,CLOSED,REPAIRED,2025-10-11,5
TCK-300039,2025-10-10T14:33:00+01:00,EMAIL,JP,,CRW4008841V,,DISPLAY,Display issue with Core Watch 4 Silver,Customer reports showing green lines on a device. The unit seems to be the cause.,NEW,NO_FAULT_FOUND,2025-10-15,3
TCK-300040,2025-10-13T15:40:00+09:00,EMAIL,CN,Meridian Core Ring Blue,CRRNG16760W,,AUDIO,Audio issue with Core Ring Blue,Device producing static. Serial sticker is worn but it is a core ring blue.,IN_PROGRESS,REPAIRED,2025-10-19,1
TCK-300041,2025-10-16T16:47:00-05:00,PHONE,US,CoreSenseGreen,CRSNS24679X,,CONNECTIVITY,Connectivity issue with Core Sense Green,After charging overnight the Meridian Core Sense Green started failing to pair. The antenna feels warm.,IN_PROGRESS,,N/A,4
TCK-300042,2025-10-19T17:54:00Z,PHONE,US,my meridian phone,PLS8032598Y,Meridian Store Boston 13,SOFTWARE,Software issue with Pulse 8 128GB Black,"Hello, my Pulse8128GBBlack 128 has been freezing on the lock screen since last week. Very disappointed.",NEW,REPAIRED,2025-10-27,
TCK-300043,2025-10-22T18:01:00+08:00,PHONE,US,pullse 8 lite 128gb silver,PLS8L40517Z,,BATTERY,Battery issue with Pulse 8 Lite 128GB Silver,The my meridian phone I purchased keeps shutting down at 30%. Please advise on warranty options.,RESOLVED,NO_FAULT_FOUND,2025-10-31,5
TCK-300044,2025-10-25T08:08:00-07:00,CHAT,AU,pulse 9 pro 128gb blue,PLS9P48436A,,AUDIO,Audio issue with Pulse 9 Pro 128GB Blue,Our IT team sees the pullse 9 pro 128gb blue producing static on multiple units we deployed.,CLOSED,REFUND,2025-11-04,3
TCK-300045,2025-10-28T09:15:00+01:00,PHONE,JP,Meridian Pulse 9 Lite 256GB Black,PLS9L56355B,,DISPLAY,Display issue with Pulse 9 Lite 256GB Black,After charging overnight the pulse 9 lite 256gb black started flickering at low brightness. The unit feels warm.,IN_PROGRESS,REPLACED,2025-10-30,1
TCK-300046,2025-10-28T09:15:00+01:00,CHAT,CN,Pulse6256GBSilver 256,PLS6064274C,,SOFTWARE,Software issue with Pulse 6 256GB Silver,I went back to the store but they redirected me here. The Meridian Pulse 6 256GB Silver is stuck on the update screen.,CLOSED,,,4
TCK-300047,2025-11-03T11:29:00-05:00,CHAT,NL,my meridian laptop,ARA1372193D,,AUDIO,Audio issue with Aura 13 256GB Blue,Customer reports producing static on a Aura13256GBBlue 256. The unit seems to be the cause.,NEW,REPAIRED,2025-11-07,2
TCK-300048,2025-11-06T12:36:00Z,STORE,FR,aura 15 pro 128gb black,,,DISPLAY,Display issue with Aura 15 Pro 128GB Black,My my meridian laptop stopped showing green lines after the last update. I bought it at the store and it is only 3 months old.,NEW,NO_FAULT_FOUND,2025-11-11,
TCK-300049,2025-11-09T13:43:00+08:00,STORE,DE,aura 16 pro 128gb silver,ARA1688031F,Meridian Store Munich 90,SHIPPING_DAMAGE,Shipping Damage issue with Aura 16 Pro 128GB Silver,Our IT team sees the aura 16 pro 128gb silver missing accessories on multiple units we deployed.,NEW,NO_FAULT_FOUND,2025-11-15,3
TCK-300050,2025-11-12T14:50:00-07:00,EMAIL,AU,Meridian Aura Go 128GB Blue,ARAGO95950G,,AUDIO,Audio issue with Aura Go 128GB Blue,After charging overnight the aura go 128gb blue started crackling at high volume. The speaker feels warm.,NEW,REPLACED,2025-11-19,1
TCK-300051,2025-11-15T15:57:00+01:00,STORE,JP,Aura14Pro256GBBlack 256,ARA1403869H,,DISPLAY,Display issue with Aura 14 Pro 256GB Black,Gift for my daughter — the Meridian Aura 14 Pro 256GB Black arrived showing green lines. Box was intact.,CLOSED,,NULL,NULL
TCK-300052,2025-11-18T16:04:00+09:00,EMAIL,CN,,SLT9011788K,,BATTERY,Battery issue with Slate 9 256GB Silver,Device shutting down at 30%. Serial sticker is worn but it is a Slate9256GBSilver 256.,RESOLVED,REFUND,2025-11-27,2
TCK-300053,2025-11-21T17:11:00-05:00,STORE,NL,slate 10 pro 256gb blue,SLT1019707M,,SOFTWARE,Software issue with Slate 10 Pro 256GB Blue,Device freezing on the lock screen. Serial sticker is worn but it is a my meridian tablet.,NEW,NO_FAULT_FOUND,2025-12-01,5
TCK-300054,2025-11-24T18:18:00Z,EMAIL,FR,slate 11 pro 128gb black,SLT1127626N,,AUDIO,Audio issue with Slate 11 Pro 128GB Black,Device losing the left channel. Serial sticker is worn but it is a slate 11 pro 128gb black.,IN_PROGRESS,NO_FAULT_FOUND,2025-11-26,
TCK-300055,2025-11-27T08:25:00+08:00,CHAT,DE,Meridian Halo Buds Silver,HLOB135545P,,BATTERY,Battery issue with Halo Buds Silver,My halo buds silver stopped not holding a charge after the last update. I bought it at the store and it is only 10 months old.,IN_PROGRESS,NO_FAULT_FOUND,2025-11-30,1
TCK-300056,2025-11-30T09:32:00-07:00,STORE,GB,HaloMaxGreen,HLOMX43464Q,Meridian Store London 77,BATTERY,Battery issue with Halo Max Green,After charging overnight the Meridian Halo Max Green started not holding a charge. The unit feels warm.,RESOLVED,,N/A,4
TCK-300057,2025-12-03T10:39:00+01:00,CHAT,CA,my meridian speaker,HLOGO51383R,,SOFTWARE,Software issue with Halo Go Black,Our IT team sees the device freezing on the lock screen on multiple units we deployed.,CLOSED,REPLACED,2025-12-08,2
TCK-300058,2025-12-06T11:46:00+09:00,CHAT,CN,halo buds 3 silver,HLOB359302S,,SHIPPING_DAMAGE,Shipping Damage issue with Halo Buds 3 Silver,Device delivered with a cracked corner. Serial sticker is worn but it is a device.,IN_PROGRESS,NO_FAULT_FOUND,2025-12-12,5
TCK-300059,2025-12-09T12:53:00-05:00,CHAT,NL,core watch 3 blue,CRW3067221T,,DISPLAY,Display issue with Core Watch 3 Blue,The device I purchased keeps showing green lines. Please advise on warranty options.,NEW,REFUND,2025-12-16,3
TCK-300060,2025-12-12T13:00:00Z,CHAT,FR,Meridian Core Band Green,,,OTHER,Other issue with Core Band Green,After charging overnight the core band green started getting warm in standby. The unit feels warm.,IN_PROGRESS,REPLACED,2025-12-20,
TCK-300061,2025-12-15T14:07:00+08:00,PHONE,DE,CoreKidsBlack,CRKID83059V,,CONNECTIVITY,Connectivity issue with Core Kids Black,Our IT team sees the Meridian Core Kids Black dropping wifi on multiple units we deployed.,NEW,,,4
TCK-300062,2025-12-18T15:14:00-07:00,PHONE,GB,my meridian phone,PLS7090978W,,CONNECTIVITY,Connectivity issue with Pulse 7 256GB Blue,After charging overnight the Pulse7256GBBlue 256 started losing 5G signal. The antenna feels warm.,CLOSED,NO_FAULT_FOUND,2025-12-28,2
TCK-300063,2025-12-21T16:21:00+01:00,STORE,CA,pullse 8 pro 128gb black,PLS8P98897X,Meridian Store Vancouver 64,OTHER,Other issue with Pulse 8 Pro 128GB Black,After charging overnight the my meridian phone started behaving oddly. The unit feels warm.,RESOLVED,REFUND,2025-12-23,5
TCK-300064,2025-12-24T17:28:00+09:00,STORE,US,pulse 9 128gb silver,PLS9006816Y,,DISPLAY,Display issue with Pulse 9 128GB Silver,Customer reports showing green lines on a pullse 9 128gb silver. The unit seems to be the cause.,CLOSED,REPAIRED,2025-12-27,3
TCK-300065,2025-12-27T18:35:00-05:00,EMAIL,US,,PLS9U14735Z,,SOFTWARE,Software issue with Pulse 9 Ultra 128GB Blue,"Hello, my pulse 9 ultra 128gb blue has been stuck on the update screen since last week. Very disappointed.",CLOSED,REFUND,2025-12-31,1
TCK-300066,2025-12-30T08:42:00Z,PHONE,FR,PulseXFold256GBBlack 256,PLSXF22654A,,BATTERY,Battery issue with Pulse X Fold 256GB Black,I went back to the store but they redirected me here. The Meridian Pulse X Fold 256GB Black is draining within two hours.,CLOSED,,NULL,
TCK-300067,2026-01-02T09:49:00+08:00,STORE,DE,my meridian phone,PLS6P30573B,,AUDIO,Audio issue with Pulse 6 Pro 256GB Silver,"Hello, my Pulse6Pro256GBSilver 256 has been losing the left channel since last week. Very disappointed.",IN_PROGRESS,REPAIRED,2026-01-08,2
TCK-300068,2026-01-05T10:56:00-07:00,EMAIL,GB,aura 14 256gb blue,ARA1438492C,,DISPLAY,Display issue with Aura 14 256GB Blue,The my meridian laptop I purchased keeps going black randomly. Please advise on warranty options.,RESOLVED,REPLACED,2026-01-12,NULL
TCK-300069,2026-01-05T10:56:00-07:00,PHONE,CA,aura 16 128gb black,ARA1646411D,,AUDIO,Audio issue with Aura 16 128GB Black,After charging overnight the aura 16 128gb black started crackling at high volume. The unit feels warm.,CLOSED,REFUND,2026-01-13,3
TCK-300070,2026-01-11T12:10:00+09:00,EMAIL,US,Meridian Aura Studio 128GB Silver,ARAST54330E,Meridian Store Seattle 51,OTHER,Other issue with Aura Studio 128GB Silver,After charging overnight the aura studio 128gb silver started getting warm in standby. The unit feels warm.,IN_PROGRESS,REFUND,2026-01-20,1
TCK-300071,2026-01-14T13:17:00-05:00,PHONE,US,Aura13Pro128GBBlue 128,ARA1362249F,,DISPLAY,Display issue with Aura 13 Pro 128GB Blue,"Hello, my Meridian Aura 13 Pro 128GB Blue has been showing green lines since last week. Very disappointed.",IN_PROGRESS,,N/A,4
TCK-300072,2026-01-17T14:24:00Z,EMAIL,US,my meridian tablet,,,SHIPPING_DAMAGE,Shipping Damage issue with Slate 8 256GB Black,Our IT team sees the Slate8256GBBlack 256 missing accessories on multiple units we deployed.,RESOLVED,REPAIRED,2026-01-19,
TCK-300073,2026-01-20T15:31:00+08:00,PHONE,US,slate 10 256gb silver,SLT1078087H,,SHIPPING_DAMAGE,Shipping Damage issue with Slate 10 256GB Silver,I went back to the store but they redirected me here. The my meridian tablet is dented on arrival.,NEW,REFUND,2026-01-23,5
TCK-300074,2026-01-23T16:38:00-07:00,STORE,GB,slate 11 256gb blue,SLT1186006K,,BATTERY,Battery issue with Slate 11 256GB Blue,I went back to the store but they redirected me here. The slate 11 256gb blue is draining within two hours.,IN_PROGRESS,REFUND,2026-01-27,3
TCK-300075,2026-01-26T17:45:00+01:00,EMAIL,CA,Meridian Slate Kids 128GB Black,SLTKD93925M,,AUDIO,Audio issue with Slate Kids 128GB Black,I went back to the store but they redirected me here. The slate kids 128gb black is crackling at high volume.,IN_PROGRESS,REPLACED,2026-01-31,1
TCK-300076,2026-01-29T18:52:00+09:00,EMAIL,US,HaloBuds2ProBlack,HLOB201844N,,OTHER,Other issue with Halo Buds 2 Pro Black,Meridian Halo Buds 2 Pro Black behaving oddly during normal use. Requesting a replacement unit.,CLOSED,,,4
TCK-300077,2026-02-01T08:59:00-05:00,STORE,US,my meridian speaker,HLOSB09763P,Meridian Store Miami 38,CONNECTIVITY,Connectivity issue with Halo Soundbar Silver,"Hello, my device has been losing 5G signal since last week. Very disappointed.",RESOLVED,REFUND,2026-02-08,2
TCK-300078,2026-02-04T09:06:00Z,EMAIL,US,,HLOA117682Q,,SOFTWARE,Software issue with Halo Arc Blue,device stuck on the update screen during normal use. Requesting a replacement unit.,NEW,REPLACED,2026-02-12,
TCK-300079,2026-02-07T10:13:00+08:00,EMAIL,US,halo fit green,HLOFT25601R,,CONNECTIVITY,Connectivity issue with Halo Fit Green,Gift for my daughter — the device arrived dropping wifi. Box was intact.,NEW,NO_FAULT_FOUND,2026-02-16,3
TCK-300080,2026-02-10T11:20:00-07:00,EMAIL,AU,Meridian Core Watch 4 Black,CRW4033520S,,DISPLAY,Display issue with Core Watch 4 Black,Customer reports going black randomly on a core watch 4 black. The display panel seems to be the cause.,IN_PROGRESS,NO_FAULT_FOUND,2026-02-20,1
TCK-300081,2026-02-13T12:27:00+01:00,EMAIL,JP,CoreRingSilver,CRRNG41439T,,BATTERY,Battery issue with Core Ring Silver,I went back to the store but they redirected me here. The Meridian Core Ring Silver is not holding a charge.,CLOSED,,NULL,4
TCK-300082,2026-02-16T13:34:00+09:00,EMAIL,US,my meridian watch,CRSNS49358U,,OTHER,Other issue with Core Sense Blue,Our IT team sees the CoreSenseBlue rattling when shaken on multiple units we deployed.,IN_PROGRESS,NO_FAULT_FOUND,2026-02-19,2
TCK-300083,2026-02-19T14:41:00-05:00,CHAT,US,pullse 7 pro 256gb blue,PLS7P57277V,,OTHER,Other issue with Pulse 7 Pro 256GB Blue,Gift for my daughter — the my meridian phone arrived getting warm in standby. Box was intact.,RESOLVED,REPAIRED,2026-02-23,5
TCK-300084,2026-02-22T15:48:00Z,CHAT,US,pulse 8 lite 128gb black,,Meridian Store Austin 25,BATTERY,Battery issue with Pulse 8 Lite 128GB Black,Customer reports draining within two hours on a pullse 8 lite 128gb black. The unit seems to be the cause.,CLOSED,REPAIRED,2026-02-27,
TCK-300085,2026-02-25T16:55:00+08:00,PHONE,US,Meridian Pulse 9 Pro 128GB Silver,PLS9P73115X,,BATTERY,Battery issue with Pulse 9 Pro 128GB Silver,The pulse 9 pro 128gb silver I purchased keeps not holding a charge. Please advise on warranty options.,RESOLVED,REFUND,2026-03-03,NULL
TCK-300086,2026-02-28T17:02:00-07:00,CHAT,AU,Pulse9Lite128GBBlue 128,PLS9L81034Y,,OTHER,Other issue with Pulse 9 Lite 128GB Blue,Device getting warm in standby. Serial sticker is worn but it is a Meridian Pulse 9 Lite 128GB Blue.,CLOSED,,N/A,4
TCK-300087,2026-03-03T18:09:00+01:00,PHONE,JP,my meridian phone,PLS6088953Z,,SOFTWARE,Software issue with Pulse 6 256GB Black,Customer reports freezing on the lock screen on a Pulse6256GBBlack 256. The unit seems to be the cause.,CLOSED,REPAIRED,2026-03-11,2
TCK-300088,2026-03-06T08:16:00+09:00,PHONE,CN,aura 13 256gb silver,ARA1396872A,,SHIPPING_DAMAGE,Shipping Damage issue with Aura 13 256GB Silver,"Hello, my my meridian laptop has been missing accessories since last week. Very disappointed.",RESOLVED,REPLACED,2026-03-15,5
TCK-300089,2026-03-09T09:23:00-05:00,CHAT,NL,aura 15 256gb blue,ARA1504791B,,OTHER,Other issue with Aura 15 256GB Blue,Gift for my daughter — the aura 15 256gb blue arrived behaving oddly. Box was intact.,NEW,REFUND,2026-03-19,3
TCK-300090,2026-03-12T10:30:00Z,STORE,US,Meridian Aura 16 Pro 128GB Black,ARA1612710C,,DISPLAY,Display issue with Aura 16 Pro 128GB Black,Our IT team sees the aura 16 pro 128gb black flickering at low brightness on multiple units we deployed.,RESOLVED,REPLACED,2026-03-14,
TCK-300091,2026-03-15T11:37:00+08:00,STORE,US,,ARAGO20629D,Meridian Store Chicago 12,BATTERY,Battery issue with Aura Go 128GB Silver,After charging overnight the Meridian Aura Go 128GB Silver started shutting down at 30%. The battery feels warm.,NEW,,,4
TCK-300092,2026-03-15T11:37:00+08:00,STORE,AU,my meridian laptop,ARA1428548E,,SOFTWARE,Software issue with Aura 14 Pro 128GB Blue,Device rebooting in a loop. Serial sticker is worn but it is a Aura14Pro128GBBlue 128.,NEW,REFUND,2026-03-19,2
TCK-300093,2026-03-21T13:51:00+01:00,EMAIL,JP,slate 9 256gb black,SLT9036467F,,DISPLAY,Display issue with Slate 9 256GB Black,After charging overnight the my meridian tablet started showing green lines. The unit feels warm.,NEW,NO_FAULT_FOUND,2026-03-26,5
TCK-300094,2026-03-24T14:58:00+09:00,EMAIL,CN,slate 10 pro 256gb silver,SLT1044386G,,SOFTWARE,Software issue with Slate 10 Pro 256GB Silver,"Hello, my slate 10 pro 256gb silver has been freezing on the lock screen since last week. Very disappointed.",IN_PROGRESS,NO_FAULT_FOUND,2026-03-30,3
TCK-300095,2026-03-27T15:05:00-05:00,PHONE,NL,Meridian Slate Mini 256GB Blue,SLTMN52305H,,OTHER,Other issue with Slate Mini 256GB Blue,slate mini 256gb blue behaving oddly during normal use. Requesting a replacement unit.,CLOSED,REFUND,2026-04-03,1
TCK-300096,2026-03-30T16:12:00Z,EMAIL,FR,HaloBudsBlack,,,SHIPPING_DAMAGE,Shipping Damage issue with Halo Buds Black,"Hello, my Meridian Halo Buds Black has been dented on arrival since last week. Very disappointed.",CLOSED,,NULL,
TCK-300097,2026-04-02T17:19:00+08:00,STORE,DE,my meridian speaker,HLOMX68143M,,DISPLAY,Display issue with Halo Max Blue,My device stopped flickering at low brightness after the last update. I bought it at the store and it is only 6 months old.,NEW,REFUND,2026-04-11,2
