LEASE_ID,AMENDMENT_NO,FACILITY_CODE,PROPERTY_NAME,PROPERTY_TYPE,ADDRESS_LINE_1,CITY,STATE_PROVINCE,COUNTRY,LANDLORD_NAME,LEASE_TYPE,LEASE_TERM_MONTHS,RENT_CURRENCY,ESCALATION_RATE_PCT,RENEWAL_OPTIONS,SQUARE_FOOTAGE,AREA_UOM,SECURITY_DEPOSIT,LEASE_COMMENCEMENT_DATE,EXPIRATION_DATE,BASE_RENT_ANNUAL,LEASE_STATUS
LSE-1006,0,MER-RTL-DE-0006,Munich Mall Store,RETAIL,225 Market Ave,Munich,,DE,Hudson Gate Partners,Modified Gross,84,EUR,3.0,1 x 5 yr at 95% FMV,251,SQM,"10,000",06.06.2021,2026-10-11,"66,000",ACTIVE
LSE-1007,0,MER-RTL-FR-0007,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Eurolog Property B.V.,NNN,84,EUR,2.5,none,260,SQM,"9,000",07.07.2022,2026-10-28,"81,000",ACTIVE
LSE-1008,0,MER-RTL-NL-0008,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Sakura Estate KK,Gross,84,EUR,3.0,none,269,SQM,"14,000",08.08.2023,2026-11-14,"77,000",ACTIVE
LSE-1009,0,MER-RTL-CN-0009,Shanghai Flagship Store,RETAIL,300 Harbor Rd,Shanghai,,CN,Sakura Estate KK,Gross,144,CNY,2.0,2 x 5 yr at FMV,279,SQM,"10,000",09.09.2016,2026-12-01,"88,000",ACTIVE
LSE-5010,0,MER-RTL-JP-0010,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Hudson Gate Partners,Modified Gross,84,JPY,2.5,1 x 5 yr at 95% FMV,288,SQM,"17,000",2010-10-11,2017-10-10,"60,800",EXPIRED
LSE-1010,0,MER-RTL-JP-0010,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Hudson Gate Partners,Modified Gross,84,JPY,2.5,1 x 5 yr at 95% FMV,288,SQM,"17,000",2017-10-10,2026-12-18,"76,000",ACTIVE
LSE-5011,0,MER-RTL-AU-0011,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Cornerstone CRE Fund II,Modified Gross,60,USD,3.0,1 x 5 yr at 95% FMV,297,SQM,"11,000",2013-11-11,2018-11-11,"73,600",EXPIRED
LSE-1011,0,MER-RTL-AU-0011,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Cornerstone CRE Fund II,Modified Gross,60,USD,3.0,1 x 5 yr at 95% FMV,297,SQM,"11,000",2018-11-11,2027-01-04,"92,000",ACTIVE
LSE-5012,0,MER-RTL-US-0012,Chicago Galleria Store,RETAIL,375 Station Blvd,Chicago,IL,US,Meridian Plaza Owners LLC,NNN,84,USD,2.0,none,"3,300",SF,"15,000",2012-12-12,2019-12-12,"83,200",EXPIRED
LSE-1012,0,MER-RTL-US-0012,Chicago Galleria Store,RETAIL,375 Station Blvd,Chicago,IL,US,Meridian Plaza Owners LLC,NNN,84,USD,2.0,none,"3,300",SF,"15,000",2019-12-12,2027-01-21,"104,000",ACTIVE
LSE-5013,0,MER-RTL-US-0013,Boston Flagship Store,RETAIL,100 Main St,Boston,MA,US,Northbridge Logistics Park,Modified Gross,60,USD,2.5,3 x 3 yr fixed,"3,400",SF,"12,000",2015-01-13,2020-01-13,"72,000",EXPIRED
LSE-1013,0,MER-RTL-US-0013,Boston Flagship Store,RETAIL,100 Main St,Boston,MA,US,Northbridge Logistics Park,Modified Gross,60,USD,2.5,3 x 3 yr fixed,"3,400",SF,"12,000",2020-01-13,2027-02-07,"90,000",ACTIVE
LSE-5014,0,MER-RTL-US-0014,Miami Mall Store,RETAIL,125 Main St,Miami,FL,US,Hudson Gate Partners,Modified Gross,144,USD,2.0,3 x 3 yr fixed,"3,500",SF,"16,000",2009-02-14,2021-02-14,"84,000",EXPIRED
LSE-1014,0,MER-RTL-US-0014,Miami Mall Store,RETAIL,125 Main St,Miami,FL,US,Hudson Gate Partners,Modified Gross,144,USD,2.0,3 x 3 yr fixed,"3,500",SF,"16,000",2021-02-14,2027-02-24,"105,000",ACTIVE
LSE-1015,0,MER-RTL-US-0015,Portland Center Store,RETAIL,150 Main St,Portland,OR,US,Sakura Estate KK,Gross,60,USD,2.5,2 x 5 yr at FMV,"3,600",SF,"14,000",2022-03-15,2027-03-13,"114,000",ACTIVE
LSE-1016,0,MER-RTL-CA-0016,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Carraway REIT LP,Modified Gross,120,USD,3.0,none,"3,700",SF,"21,000",2023-04-16,2027-03-30,"109,000",ACTIVE
LSE-1017,0,MER-RTL-GB-0017,London Flagship Store,RETAIL,200 Market Ave,London,,GB,Cornerstone CRE Fund II,Gross,84,GBP,2.5,2 x 5 yr at FMV,353,SQM,"21,000",17.05.2016,2027-04-16,"113,000",ACTIVE
LSE-1018,0,MER-RTL-DE-0018,Munich Mall Store,RETAIL,225 Market Ave,Munich,,DE,Brookline Property Trust,NNN,84,EUR,3.0,none,362,SQM,"14,000",18.06.2017,2028-09-18,"96,820",SUPERSEDED
LSE-1018,1,MER-RTL-DE-0018,Munich Mall Store,RETAIL,225 Market Ave,Munich,,DE,Brookline Property Trust,NNN,84,EUR,3.0,none,362,SQM,"14,000",18.06.2017,2028-09-18,"103,000",ACTIVE
LSE-5019,0,MER-RTL-FR-0019,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Northbridge Logistics Park,Gross,144,EUR,2.5,3 x 3 yr fixed,372,SQM,"15,000",19.07.2006,2018-07-19,"94,400",EXPIRED
LSE-1019,0,MER-RTL-FR-0019,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Northbridge Logistics Park,Gross,144,EUR,2.5,3 x 3 yr fixed,372,SQM,"15,000",19.07.2018,2028-10-11,"118,000",SUPERSEDED
LSE-1019,1,MER-RTL-FR-0019,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Northbridge Logistics Park,Gross,144,EUR,2.5,3 x 3 yr fixed,372,SQM,"15,000",19.07.2018,2028-10-11,"118,000",ACTIVE
LSE-5020,0,MER-RTL-NL-0020,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Harbour City Holdings,NNN,120,EUR,3.0,2 x 5 yr at FMV,381,,"17,000",20.08.2009,2019-08-20,"81,600",EXPIRED
LSE-1020,0,MER-RTL-NL-0020,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Harbour City Holdings,NNN,120,EUR,3.0,2 x 5 yr at FMV,381,,"17,000",20.08.2019,2028-11-03,"95,880",SUPERSEDED
LSE-1020,1,MER-RTL-NL-0020,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Harbour City Holdings,NNN,120,EUR,3.0,2 x 5 yr at FMV,381,,"17,000",20.08.2019,2028-11-03,"102,000",SUPERSEDED
LSE-1020,2,MER-RTL-NL-0020,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Harbour City Holdings,NNN,120,EUR,3.0,2 x 5 yr at FMV,381,,"17,000",20.08.2019,2028-11-03,"102,000",ACTIVE
LSE-5021,0,MER-RTL-CN-0021,Shanghai Flagship Store,RETAIL,300 Harbor Rd,Shanghai,,CN,Harbour City Holdings,Modified Gross,120,CNY,2.5,1 x 5 yr at 95% FMV,390,SQM,"24,000",22.09.2010,2020-09-21,"93,600",EXPIRED
LSE-1021,0,MER-RTL-CN-0021,Shanghai Flagship Store,RETAIL,300 Harbor Rd,Shanghai,,CN,Harbour City Holdings,Modified Gross,120,CNY,2.5,1 x 5 yr at 95% FMV,390,SQM,"24,000",21.09.2020,2028-11-26,"117,000",ACTIVE
LSE-5022,0,MER-RTL-JP-0022,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Meridian Plaza Owners LLC,Modified Gross,84,JPY,2.5,none,399,SQM,"18,000",2014-10-23,2021-10-22,"97,600",TERMINATED
LSE-1022,0,MER-RTL-JP-0022,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Meridian Plaza Owners LLC,Modified Gross,84,JPY,2.5,none,399,SQM,"18,000",2021-10-22,2028-12-19,"114,680",SUPERSEDED
LSE-1022,1,MER-RTL-JP-0022,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Meridian Plaza Owners LLC,Modified Gross,84,JPY,2.5,none,399,SQM,"18,000",2021-10-22,2028-12-19,"122,000",ACTIVE
LSE-5023,0,MER-RTL-AU-0023,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Meridian Plaza Owners LLC,NNN,84,USD,2.5,1 x 5 yr at 95% FMV,409,SQM,"19,000",2015-11-24,2022-11-23,"88,000",EXPIRED
LSE-1023,0,MER-RTL-AU-0023,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Meridian Plaza Owners LLC,NNN,84,USD,2.5,1 x 5 yr at 95% FMV,409,SQM,"19,000",2022-11-23,2029-01-11,"110,000",SUPERSEDED
LSE-1023,1,MER-RTL-AU-0023,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Meridian Plaza Owners LLC,NNN,84,USD,2.5,1 x 5 yr at 95% FMV,409,SQM,"19,000",2022-11-23,2029-01-11,"110,000",ACTIVE
LSE-1024,0,MER-RTL-US-0024,San Diego Galleria Store,RETAIL,375 Station Blvd,San Diego,CA,US,Meridian Plaza Owners LLC,Gross,144,USD,3.0,2 x 5 yr at FMV,"4,500",SF,"16,000",2023-12-24,2029-02-03,"101,520",SUPERSEDED
LSE-1024,1,MER-RTL-US-0024,San Diego Galleria Store,RETAIL,375 Station Blvd,San Diego,CA,US,Meridian Plaza Owners LLC,Gross,144,USD,3.0,2 x 5 yr at FMV,"4,500",SF,"16,000",2023-12-24,2029-02-03,"108,000",SUPERSEDED
LSE-1024,2,MER-RTL-US-0024,San Diego Galleria Store,RETAIL,375 Station Blvd,San Diego,CA,US,Meridian Plaza Owners LLC,Gross,144,USD,3.0,2 x 5 yr at FMV,"4,500",SF,"16,000",2023-12-24,2029-02-03,"108,000",ACTIVE
LSE-1025,0,MER-RTL-US-0025,Austin Flagship Store,RETAIL,100 Main St,Austin,TX,US,Cornerstone CRE Fund II,Modified Gross,60,USD,3.0,1 x 5 yr at 95% FMV,"4,600",SF,"19,000",2016-01-25,2029-02-26,"128,000",ACTIVE
LSE-1026,0,MER-RTL-US-0026,Denver Mall Store,RETAIL,125 Main St,Denver,CO,US,Stellar Urban Holdings,Gross,120,USD,2.5,2 x 5 yr at FMV,"4,700",SF,"31,000",2017-02-26,2029-03-21,"139,120",SUPERSEDED
LSE-1026,1,MER-RTL-US-0026,Denver Mall Store,RETAIL,125 Main St,Denver,CO,US,Stellar Urban Holdings,Gross,120,USD,2.5,2 x 5 yr at FMV,"4,700",SF,"31,000",2017-02-26,2029-03-21,"148,000",ACTIVE
LSE-1027,0,MER-RTL-US-0027,Seattle Center Store,RETAIL,150 Main St,Seattle,WA,US,Northbridge Logistics Park,Modified Gross,120,USD,2.5,none,"4,800",SF,"18,000",2018-03-27,2029-04-13,"153,000",SUPERSEDED
LSE-1027,1,MER-RTL-US-0027,Seattle Center Store,RETAIL,150 Main St,Seattle,WA,US,Northbridge Logistics Park,Modified Gross,120,USD,2.5,none,"4,800",SF,"18,000",2018-03-27,2029-04-13,"153,000",ACTIVE
LSE-5028,0,MER-RTL-CA-0028,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Sakura Estate KK,Modified Gross,60,USD,3.0,none,"4,900",SF,"28,000",2014-04-01,2019-04-01,"118,400",EXPIRED
LSE-1028,0,MER-RTL-CA-0028,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Sakura Estate KK,Modified Gross,60,USD,3.0,none,"4,900",SF,"28,000",2019-04-01,2029-05-06,"139,120",SUPERSEDED
LSE-1028,1,MER-RTL-CA-0028,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Sakura Estate KK,Modified Gross,60,USD,3.0,none,"4,900",SF,"28,000",2019-04-01,2029-05-06,"148,000",SUPERSEDED
LSE-1028,2,MER-RTL-CA-0028,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Sakura Estate KK,Modified Gross,60,USD,3.0,none,"4,900",SF,"28,000",2019-04-01,2029-05-06,"148,000",ACTIVE
LSE-5029,0,MER-RTL-GB-0029,London Flagship Store,RETAIL,200 Market Ave,London,,GB,Harbour City Holdings,Modified Gross,120,GBP,2.0,1 x 5 yr at 95% FMV,204,SQM,"7,000",03.05.2010,2020-05-02,"49,600",TERMINATED
LSE-1029,0,MER-RTL-GB-0029,London Flagship Store,RETAIL,200 Market Ave,London,,GB,Harbour City Holdings,Modified Gross,120,GBP,2.0,1 x 5 yr at 95% FMV,204,SQM,"7,000",02.05.2020,2029-05-29,"62,000",ACTIVE
LSE-5030,0,MER-RTL-DE-0030,Munich Mall Store,RETAIL,225 Market Ave,Munich,,DE,Pacific Crown Estates,NNN,144,EUR,2.5,none,214,SQM,"9,000",03.06.2009,2021-06-03,"51,200",EXPIRED
LSE-1030,0,MER-RTL-DE-0030,Munich Mall Store,RETAIL,225 Market Ave,Munich,,DE,Pacific Crown Estates,NNN,144,EUR,2.5,none,214,SQM,"9,000",03.06.2021,2029-06-21,"60,160",SUPERSEDED
LSE-1030,1,MER-RTL-DE-0030,Munich Mall Store,RETAIL,225 Market Ave,Munich,,DE,Pacific Crown Estates,NNN,144,EUR,2.5,none,214,SQM,"9,000",03.06.2021,2029-06-21,"64,000",ACTIVE
LSE-5031,0,MER-RTL-FR-0031,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Brookline Property Trust,Modified Gross,144,EUR,2.0,1 x 5 yr at 95% FMV,223,SQM,"10,000",04.07.2010,2022-07-04,"52,000",EXPIRED
LSE-1031,0,MER-RTL-FR-0031,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Brookline Property Trust,Modified Gross,144,EUR,2.0,1 x 5 yr at 95% FMV,223,SQM,"10,000",04.07.2022,2029-07-14,"65,000",SUPERSEDED
LSE-1031,1,MER-RTL-FR-0031,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Brookline Property Trust,Modified Gross,144,EUR,2.0,1 x 5 yr at 95% FMV,223,SQM,"10,000",04.07.2022,2029-07-14,"65,000",ACTIVE
LSE-5032,0,MER-RTL-NL-0032,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Brookline Property Trust,NNN,60,EUR,2.5,3 x 3 yr fixed,232,SQM,"11,000",05.08.2018,2023-08-05,"48,000",EXPIRED
LSE-1032,0,MER-RTL-NL-0032,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Brookline Property Trust,NNN,60,EUR,2.5,3 x 3 yr fixed,232,SQM,"11,000",05.08.2023,2029-08-06,"56,400",SUPERSEDED
LSE-1032,1,MER-RTL-NL-0032,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Brookline Property Trust,NNN,60,EUR,2.5,3 x 3 yr fixed,232,SQM,"11,000",05.08.2023,2029-08-06,"60,000",SUPERSEDED
LSE-1032,2,MER-RTL-NL-0032,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Brookline Property Trust,NNN,60,EUR,2.5,3 x 3 yr fixed,232,SQM,"11,000",05.08.2023,2029-08-06,"60,000",ACTIVE
LSE-1033,0,MER-RTL-CN-0033,Shanghai Flagship Store,RETAIL,300 Harbor Rd,Shanghai,,CN,Meridian Plaza Owners LLC,Gross,84,CNY,2.5,none,242,SQM,"11,000",06.09.2016,2029-08-29,"79,000",ACTIVE
LSE-1034,0,MER-RTL-JP-0034,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Cornerstone CRE Fund II,Modified Gross,84,JPY,3.0,none,251,SQM,"10,000",2017-10-07,2029-09-21,"64,860",SUPERSEDED
LSE-1034,1,MER-RTL-JP-0034,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Cornerstone CRE Fund II,Modified Gross,84,JPY,3.0,none,251,SQM,"10,000",2017-10-07,2029-09-21,"69,000",ACTIVE
LSE-1035,0,MER-RTL-AU-0035,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Eurolog Property B.V.,Modified Gross,144,USD,2.5,1 x 5 yr at 95% FMV,260,SQM,"14,000",2018-11-08,2029-10-14,"82,000",SUPERSEDED
LSE-1035,1,MER-RTL-AU-0035,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Eurolog Property B.V.,Modified Gross,144,USD,2.5,1 x 5 yr at 95% FMV,260,SQM,"14,000",2018-11-08,2029-10-14,"82,000",ACTIVE
LSE-1036,0,MER-RTL-US-0036,Harbor Point Center,RETAIL,375 Station Blvd,Chicago,IL,US,Brookline Property Trust,NNN,144,USD,3.0,3 x 3 yr fixed,"2,900",SF,"9,000",2019-12-09,2029-11-06,"67,680",SUPERSEDED
LSE-1036,1,MER-RTL-US-0036,Harbor Point Center,RETAIL,375 Station Blvd,Chicago,IL,US,Brookline Property Trust,NNN,144,USD,3.0,3 x 3 yr fixed,"2,900",SF,"9,000",2019-12-09,2029-11-06,"72,000",SUPERSEDED
LSE-1036,2,MER-RTL-US-0036,Harbor Point Center,RETAIL,375 Station Blvd,Chicago,IL,US,Brookline Property Trust,NNN,144,USD,3.0,3 x 3 yr fixed,"2,900",SF,"9,000",2019-12-09,2029-11-06,"72,000",ACTIVE
LSE-5037,0,MER-RTL-US-0037,Boston Flagship Store,RETAIL,100 Main St,Boston,MA,US,Meridian Plaza Owners LLC,NNN,60,USD,3.0,3 x 3 yr fixed,"3,000",SF,"14,000",2015-01-10,2020-01-10,"65,600",EXPIRED
LSE-1037,0,MER-RTL-US-0037,Boston Flagship Store,RETAIL,100 Main St,Boston,MA,US,Meridian Plaza Owners LLC,NNN,60,USD,3.0,3 x 3 yr fixed,"3,000",SF,"14,000",2020-01-10,2029-11-29,"82,000",ACTIVE
LSE-5038,0,MER-RTL-US-0038,Miami Mall Store,RETAIL,125 Main St,Miami,FL,US,Pacific Crown Estates,Gross,144,USD,2.5,3 x 3 yr fixed,"3,100",SF,"14,000",2009-02-11,2021-02-11,"77,600",EXPIRED
LSE-1038,0,MER-RTL-US-0038,Miami Mall Store,RETAIL,125 Main St,Miami,FL,US,Pacific Crown Estates,Gross,144,USD,2.5,3 x 3 yr fixed,"3,100",SF,"14,000",2021-02-11,2029-12-22,"91,180",SUPERSEDED
LSE-1038,1,MER-RTL-US-0038,Miami Mall Store,RETAIL,125 Main St,Miami,FL,US,Pacific Crown Estates,Gross,144,USD,2.5,3 x 3 yr fixed,"3,100",SF,"14,000",2021-02-11,2029-12-22,"97,000",ACTIVE
LSE-5039,0,MER-RTL-US-0039,Portland Center Store,RETAIL,150 Main St,Portland,OR,US,Pacific Crown Estates,NNN,84,USD,3.0,1 x 5 yr at 95% FMV,"3,200",,"10,000",2015-03-13,2022-03-12,"75,200",EXPIRED
LSE-1039,0,MER-RTL-US-0039,Portland Center Store,RETAIL,150 Main St,Portland,OR,US,Pacific Crown Estates,NNN,84,USD,3.0,1 x 5 yr at 95% FMV,"3,200",,"10,000",2022-03-12,2030-01-14,"94,000",SUPERSEDED
LSE-1039,1,MER-RTL-US-0039,Portland Center Store,RETAIL,150 Main St,Portland,OR,US,Pacific Crown Estates,NNN,84,USD,3.0,1 x 5 yr at 95% FMV,"3,200",,"10,000",2022-03-12,2030-01-14,"94,000",ACTIVE
LSE-5040,0,MER-RTL-CA-0040,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Meridian Plaza Owners LLC,Modified Gross,144,USD,3.0,2 x 5 yr at FMV,"3,300",SF,"10,000",2011-04-13,2023-04-13,"76,800",EXPIRED
LSE-1040,0,MER-RTL-CA-0040,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Meridian Plaza Owners LLC,Modified Gross,144,USD,3.0,2 x 5 yr at FMV,"3,300",SF,"10,000",2023-04-13,2030-02-06,"90,240",SUPERSEDED
LSE-1040,1,MER-RTL-CA-0040,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Meridian Plaza Owners LLC,Modified Gross,144,USD,3.0,2 x 5 yr at FMV,"3,300",SF,"10,000",2023-04-13,2030-02-06,"96,000",SUPERSEDED
LSE-1040,2,MER-RTL-CA-0040,Vancouver Galleria Store,RETAIL,175 Market Ave,Vancouver,,CA,Meridian Plaza Owners LLC,Modified Gross,144,USD,3.0,2 x 5 yr at FMV,"3,300",SF,"10,000",2023-04-13,2030-02-06,"96,000",ACTIVE
LSE-5041,0,MER-RTL-GB-0041,London Flagship Store,RETAIL,200 Market Ave,London,,GB,Carraway REIT LP,Modified Gross,144,GBP,2.5,none,316,SQM,"17,000",14.05.2004,2016-05-14,"77,600",EXPIRED
LSE-1041,0,MER-RTL-GB-0041,London Flagship Store,RETAIL,200 Market Ave,London,,GB,Carraway REIT LP,Modified Gross,144,GBP,2.5,none,316,SQM,"17,000",14.05.2016,2030-03-01,"97,000",ACTIVE
LSE-1042,0,MER-RTL-DE-0042,Munich Mall Store  ,RETAIL,225 Market Ave,Munich,,DE,Brookline Property Trust,Modified Gross,120,EUR,3.0,3 x 3 yr fixed,325,SQM,"15,000",15.06.2017,2030-03-24,"94,000",SUPERSEDED
LSE-1042,1,MER-RTL-DE-0042,Munich Mall Store  ,RETAIL,225 Market Ave,Munich,,DE,Brookline Property Trust,Modified Gross,120,EUR,3.0,3 x 3 yr fixed,325,SQM,"15,000",15.06.2017,2030-03-24,"100,000",ACTIVE
LSE-1043,0,MER-RTL-FR-0043,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Harbour City Holdings,Gross,120,EUR,3.0,1 x 5 yr at 95% FMV,334,SQM,"24,000",16.07.2018,2030-04-16,"112,000",SUPERSEDED
LSE-1043,1,MER-RTL-FR-0043,Paris Center Store,RETAIL,250 Harbor Rd,Paris,,FR,Harbour City Holdings,Gross,120,EUR,3.0,1 x 5 yr at 95% FMV,334,SQM,"24,000",16.07.2018,2030-04-16,"112,000",ACTIVE
LSE-1044,0,MER-RTL-NL-0044,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Meridian Plaza Owners LLC,Modified Gross,60,EUR,3.0,1 x 5 yr at 95% FMV,344,SQM,"21,000",17.08.2019,2030-05-09,"91,180",SUPERSEDED
LSE-1044,1,MER-RTL-NL-0044,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Meridian Plaza Owners LLC,Modified Gross,60,EUR,3.0,1 x 5 yr at 95% FMV,344,SQM,"21,000",17.08.2019,2030-05-09,"97,000",SUPERSEDED
LSE-1044,2,MER-RTL-NL-0044,Tilburg Galleria Store,RETAIL,275 Harbor Rd,Tilburg,,NL,Meridian Plaza Owners LLC,Modified Gross,60,EUR,3.0,1 x 5 yr at 95% FMV,344,SQM,"21,000",17.08.2019,2030-05-09,"97,000",ACTIVE
LSE-1045,0,MER-RTL-CN-0045,Shanghai Flagship Store,RETAIL,300 Harbor Rd,Shanghai,,CN,Eurolog Property B.V.,Modified Gross,84,CNY,2.5,none,353,SQM,"20,000",18.09.2020,2030-06-01,"95,000",ACTIVE
LSE-5046,0,MER-RTL-JP-0046,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Eurolog Property B.V.,Gross,60,JPY,2.5,none,362,SQM,"16,000",2016-10-19,2021-10-19,"76,800",EXPIRED
LSE-1046,0,MER-RTL-JP-0046,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Eurolog Property B.V.,Gross,60,JPY,2.5,none,362,SQM,"16,000",2021-10-19,2030-06-24,"90,240",SUPERSEDED
LSE-1046,1,MER-RTL-JP-0046,Osaka Mall Store,RETAIL,325 Station Blvd,Osaka,,JP,Eurolog Property B.V.,Gross,60,JPY,2.5,none,362,SQM,"16,000",2021-10-19,2030-06-24,"96,000",ACTIVE
LSE-5047,0,MER-RTL-AU-0047,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Stellar Urban Holdings,Gross,120,USD,2.0,1 x 5 yr at 95% FMV,372,SQM,"20,000",2012-11-20,2022-11-20,"97,600",EXPIRED
LSE-1047,0,MER-RTL-AU-0047,Sydney Center Store,RETAIL,350 Station Blvd,Sydney,,AU,Stellar Urban Holdings,Gross,120,USD,2.0,1 x 5 yr at 95% FMV,372,SQM,"20,000",2022-11-20,2030-07-17,"122,000",SUPERSEDED
