PO_NUMBER,PO_LINE_ITEM,DOC_TYPE,PO_DATE,VENDOR_ID,SUPPLIER_NAME,MATERIAL_NUMBER,SHORT_TEXT,ORDER_QTY,ORDER_UOM,NET_PRICE,PRICE_UNIT,CURRENCY,NET_VALUE_USD,INCOTERMS,INCOTERMS_LOCATION,PLANT_CODE,DELIVERY_DATE,PURCH_GROUP,PO_STATUS
4500087037,00030,ZNB,2024-07-08,0000106376,Osaka Meiwa Precision Joint Stock Company,CMP-ENC-0422,machined housing 323,6781,EA,"2,180.00",1000,USD,"USD 14,782.58",FCA,CNYTN,MER-DC-JP-01,2024-08-14,P104,CLOSED
4500087037,00040,ZNB,2024-07-08,0000106376,Osaka Meiwa Precision Joint Stock Company,CMP-ENC-0222,machined housing 123,17809,EA,"3,040.00",1000,USD,"54,139.36",FCA,CNYTN,MER-DC-GB-01,2024-08-14,P104,OPEN
4500087044,00010,NB,2024-07-13,0000126926,Quang Nam Microsystems Corporation,CMP-PCB-0372,main logic board assembly 273,13994,EA,"1,248,680.00",100,JPY,"USD 1,127,356.64",EXW,TWKHH,MER-DC-CN-02,2024-08-20,P101,CANCELLED
4500087044,00020,NB,2024-07-13,0000126926,Quang Nam Microsystems Corporation,CMP-PCB-0372,main logic board assembly 273,13994,EA,"1,248,680.00",100,JPY,"1,127,356.64",EXW,TWKHH,MER-DC-JP-01,2024-08-20,P101,CLOSED
4500087049,00010,NB,2024-07-18,0000109664,Can Tho Precision Joint Stock Company,CMP-ENC-0270,machined housing 171,12372,EA,"10,120.00",1000,USD,"USD 125,204.64",CIF,TWTPE,MER-DC-JP-01,2024-08-26,P101,CLOSED
4500087052,00010,NB,2024-07-23,0000105417,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0484,OLED display module 385,54,KPC,"2,194.56",10,CNY,"USD 1,645,920.00",CIF,VNSGN,MER-DC-GB-01,2024-09-01,P107,OPEN
4500087052,00020,NB,2024-07-23,0000105417,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0484,OLED display module 385,54,KPC,"2,194.56",10,CNY,"1,645,920.00",CIF,VNSGN,MER-DC-MX-01,2024-09-01,P107,CANCELLED
4500087052,00030,NB,2024-07-23,0000105417,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0484,OLED display module 385 - expedite,5296,EA,"219,456.00",1000,CNY,"USD 161,422.08",CIF,VNSGN,MER-DC-SG-01,2024-09-01,P107,CLOSED
4500087052,00040,NB,2024-07-23,0000105417,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0283,OLED display module 176,15233,EA,"47,692.80",100,CNY,"1,009,033.92",CIF,VNSGN,MER-3PL-US-01,2024-09-01,P107,CLOSED
4500087056,00010,NB,2024-07-28,0000117473,"Can Tho Acoustics Industry Co., Ltd.",CMP-DSP-0259,OLED display module 160,12906,PC,"60,256.80",100,CNY,"1,080,103.14",EXW,CNXMN,MER-DC-MX-01,2024-09-07,P105,CLOSED
4500087056,00020,NB,2024-07-28,0000117473,"Can Tho Acoustics Industry Co., Ltd.",CMP-DSP-0259,OLED display module 160,12906,PC,"60,256.80",100,CNY,"USD 1,080,103.14",EXW,CNXMN,MER-DC-SG-01,2024-09-07,P105,CLOSED
4500087062,00010,NB,2024-08-02,0000107335,"Incheon Circuit Co., Ltd.",CMP-CBL-0361,flex ribbon cable 262,10616,EA,"2,130.00",1000,USD,"USD 22,612.08",FCA,TWTPE,MER-DC-SG-01,2024-09-13,P103,CLOSED
4500087062,00020,NB,2024-08-02,0000107335,"Incheon Circuit Co., Ltd.",CMP-CBL-0161,flex ribbon cable 062,6826,EA,137.00,100,USD,"9,351.62",FCA,TWTPE,MER-3PL-US-01,2024-09-13,P103,CLOSED
4500087069,00010,NB,2024-08-07,0000104732,"Hailong Precision Industry Co., Ltd.",CMP-BAT-0499,Li-ion battery pack 400,13763,EA,47.09,1,CNY,"90,010.02",FCA,TWTPE,MER-3PL-US-01,2024-09-19,P102,CLOSED
4500087069,00020,NB,2024-08-07,0000104732,"Hailong Precision Industry Co., Ltd.",MRO-GEN-0700,maintenance supply item 00,11611,EA,"93,441.60",100,CNY,"USD 1,506,875.58",FCA,TWTPE,MER-3PL-PL-02,2024-09-19,P102,CLOSED
4500087069,00030,NB,2024-08-07,0000104732,"Hailong Precision Industry Co., Ltd.",CMP-DSP-0451,6.7-inch OLED display module,9531,EA,"30,096.00",100,CNY,"USD 398,395.80",FCA,TWTPE,MER-3PL-MY-03,2024-09-19,P102,CLOSED
4500087069,00040,NB,2024-08-07,0000104732,"Hailong Precision Industry Co., Ltd.",CMP-BAT-0499,Li-ion battery pack 400,13763,EA,47.09,1,CNY,"USD 90,010.02",FCA,TWTPE,MER-DC-US-01,2024-09-19,P102,CANCELLED
4500087077,00010,ZNB,2024-08-12,0000111856,Sapporo Optics Joint Stock Company,CMP-ENC-0102,machined housing 003,16771,PC,85.10,10,USD,"USD 142,721.21",FOB,CNXMN,MER-3PL-PL-02,2024-09-25,P100,OPEN
4500087077,00020,ZNB,2024-08-12,0000111856,Sapporo Optics Joint Stock Company,CMP-ENC-0302,machined housing 203,8237,EA,"1,110.00",100,USD,"91,430.70",FOB,CNXMN,MER-3PL-MY-03,2024-09-25,P100,CLOSED
4500087077,00030,ZNB,2024-08-12,0000111856,Sapporo Optics Joint Stock Company,CMP-ENC-0503,machined housing 404,5741,EA,45.60,10,USD,"26,178.96",FOB,CNXMN,MER-DC-US-01,2024-09-25,P100,CANCELLED
4500087077,00040,ZNB,2024-08-12,0000111856,Sapporo Optics Joint Stock Company,CMP-ENC-0102,machined housing 003,14477,EA,8.51,1,USD,"123,199.27",FOB,CNXMN,MER-DC-US-02,2024-09-25,P100,CLOSED
4500087080,00010,NB,2024-08-17,0000105965,Hanoi Lotus Acoustics Industrial Corp.,CMP-FST-0391,torx screw 284,6176,EA,19.20,10,TWD,USD 370.56,FOB,CNXMN,MER-3PL-MY-03,2024-10-01,P103,CLOSED
4500087087,00010,NB,2024-08-22,0000122679,"Tainan Components Co., Ltd.",CMP-CBL-0385,flex ribbon cable 286,9271,EA,312.00,100,USD,"USD 28,925.52",CIF,VNSGN,MER-DC-US-01,2024-10-07,P108,CANCELLED
4500087090,00010,NB,2024-08-27,0000108568,Kyoto Hana Optics Joint Stock Company,CMP-ENC-0254,machined housing 155,19449,EA,72.80,10,USD,"141,588.72",CIF,TWTPE,MER-DC-US-02,2024-10-13,P104,CLOSED
4500087090,00020,NB,2024-08-27,0000108568,Kyoto Hana Optics Joint Stock Company,CMP-ENC-0455,machined housing 347 - expedite,3794,EA,"2,670.00",1000,USD,"10,129.98",CIF,TWTPE,MER-DC-US-03,2024-10-13,P104,CANCELLED
4500087098,00010,NB,2024-09-01,0000105143,"Volta Energy Co., Ltd.",MRO-GEN-0707,maintenance supply item 07 - expedite,1822,EA,"25,635.00",100,USD,"USD 467,069.70",CIF,CNYTN,MER-DC-US-03,2024-10-19,P106,CLOSED
4500087098,00020,NB,2024-09-01,0000105143,"Volta Energy Co., Ltd.",CMP-BAT-0118,Li-ion battery pack 4500mAh,6324,EA,"9,400.00",1000,USD,"59,445.60",CIF,CNYTN,MER-DC-US-04,2024-10-19,P106,CLOSED
4500087100,00010,NB,2024-09-06,0000115007,"Yokohama Kiyo Energy Co., Ltd.",CMP-CBL-0273,flex ribbon cable 174,7183,PC,290.00,100,USD,"USD 20,830.70",DDP,KRPUS,MER-DC-US-04,2024-10-25,P106,CLOSED
4500087100,00020,NB,2024-09-06,0000115007,"Yokohama Kiyo Energy Co., Ltd.",CMP-CBL-0474,flex ribbon cable 375,13901,EA,95.00,100,USD,"USD 13,205.95",DDP,KRPUS,MER-DC-US-05,2024-10-25,P106,CLOSED
4500087100,00030,NB,2024-09-06,0000115007,"Yokohama Kiyo Energy Co., Ltd.",CMP-CBL-0474,flex ribbon cable 375 - expedite,13901,EA,95.00,100,USD,"13,205.95",DDP,KRPUS,MER-DC-US-06,2024-10-25,P106,CLOSED
4500087108,00010,NB,2024-09-11,0000106650,Da Nang Polymer Industrial Corp.,CMP-ADH-0376,structural adhesive 277,36,KPC,107.84,1,TWD,"121,320.00",DDP,TWKHH,MER-DC-US-05,2024-10-31,P100,OPEN
4500087108,00020,NB,2024-09-11,0000106650,Da Nang Polymer Industrial Corp.,CMP-ADH-0176,structural adhesive 077,21,KPC,"77,440.00",1000,TWD,"50,820.00",DDP,TWKHH,MER-DC-US-06,2024-10-31,P100,OPEN
4500087108,00030,NB,2024-09-11,0000106650,Da Nang Polymer Industrial Corp.,CMP-ADH-0376,structural adhesive 277,51,KPC,"10,784.00",100,TWD,"171,870.00",DDP,TWKHH,MER-DC-NL-01,2024-10-31,P100,CANCELLED
4500087108,00040,NB,2024-09-11,0000106650,Da Nang Polymer Industrial Corp.,CMP-ADH-0176,structural adhesive 077,59,KPC,774.40,10,TWD,"142,780.00",DDP,TWKHH,MER-DC-DE-01,2024-10-31,P100,CANCELLED
4500087114,00010,ZNB,2024-09-16,0000132680,Keelung Precision Joint Stock Company,CMP-BAT-0266,Li-ion battery pack 167,18573,PC,113.30,10,USD,"210,432.09",CIF,VNSGN,MER-DC-US-06,2024-11-06,P101,CLOSED
4500087114,00020,ZNB,2024-09-16,0000132680,Keelung Precision Joint Stock Company,CMP-BAT-0467,Li-ion battery pack 368,17031,EA,65.00,10,USD,"USD 110,701.50",CIF,VNSGN,MER-DC-NL-01,2024-11-06,P101,CLOSED
4500087114,00030,ZNB,2024-09-16,0000132680,Keelung Precision Joint Stock Company,CMP-BAT-0266,Li-ion battery pack 167,16573,PC,113.30,10,USD,"187,772.09",CIF,VNSGN,MER-DC-DE-01,2024-11-06,P101,CLOSED
4500087119,00010,NB,2024-09-21,110486,Vinh Phuc Microsystems Corporation,CMP-PCB-0332,main logic board assembly 233,5751,EA,"107,012.00",10,JPY,"397,049.04",DDP,KRPUS,MER-DC-NL-01,2024-11-12,P101,CLOSED
4500087119,00020,NB,2024-09-21,110486,Vinh Phuc Microsystems Corporation,CMP-PCB-0132,main logic board assembly 033,7647,EA,"12,291.50",1,JPY,"606,407.10",DDP,KRPUS,MER-DC-DE-01,2024-11-12,P101,CANCELLED
4500087119,00030,NB,2024-09-21,110486,Vinh Phuc Microsystems Corporation,CMP-PCB-0332,main logic board assembly 233,6811,PC,"10,701.20",1,JPY,"470,231.44",DDP,KRPUS,MER-DC-CN-01,2024-11-12,P101,CLOSED
4500087126,00010,NB,2024-09-26,0000105554,Dongguan Rixin Microsystems Industrial Corp.,CMP-ADH-0160,structural adhesive 061,10534,EA,"143,360.00",1000,TWD,"47,192.32",DAP,VNSGN,MER-DC-DE-01,2024-11-18,P101,CANCELLED
4500087126,00020,NB,2024-09-26,0000105554,Dongguan Rixin Microsystems Industrial Corp.,CMP-ADH-0360,structural adhesive 261,1266,EA,123.20,1,TWD,"4,874.10",DAP,VNSGN,MER-DC-CN-01,2024-11-18,P101,CLOSED
4500087126,00030,NB,2024-09-26,0000105554,Dongguan Rixin Microsystems Industrial Corp.,MRO-GEN-0714,maintenance supply item 14,15517,EA,"9,734.40",10,TWD,"472,027.14",DAP,VNSGN,MER-DC-CN-02,2024-11-18,P101,CLOSED
4500087129,00010,NB,2024-10-01,0000119254,Dalian Crest Tooling Corporation,CMP-PCB-0461,main logic board assembly 362,17216,EA,54.11,1,USD,"USD 931,557.76",DDP,TWKHH,MER-DC-CN-01,2024-11-24,P102,OPEN
4500087129,00020,NB,2024-10-01,0000119254,Dalian Crest Tooling Corporation,CMP-PCB-0260,main logic board assembly 161,2278,EA,"107,700.00",1000,USD,"245,340.60",DDP,TWKHH,MER-DC-CN-02,2024-11-24,P102,CLOSED
4500087129,00030,NB,2024-10-01,0000119254,Dalian Crest Tooling Corporation,CMP-PCB-0461,main logic board assembly 362,4091,EA,541.10,10,USD,"USD 221,364.01",DDP,TWKHH,MER-DC-JP-01,2024-11-24,P102,OPEN
4500087137,00010,NB,2024-10-06,0000107746,Kaohsiung Tooling Industrial Corp.,CMP-ADH-0192,structural adhesive 093,11998,EA,"13,568.00",100,TWD,"USD 50,871.52",DAP,CNYTN,MER-DC-CN-02,2024-11-30,P100,OPEN
4500087137,00020,NB,2024-10-06,0000107746,Kaohsiung Tooling Industrial Corp.,CMP-ADH-0392,structural adhesive 293,16232,EA,419.20,10,TWD,"21,263.92",DAP,CNYTN,MER-DC-JP-01,2024-11-30,P100,CLOSED
4500087141,00010,NB,2024-10-11,0000104869,Suzhou Brightway Electronics Industrial Corp.,CMP-FST-0375,torx screw 276,12,KPC,14.00,100,USD,"1,680.00",CIF,TWTPE,MER-DC-JP-01,2024-12-06,P106,CLOSED
4500087141,00020,NB,2024-10-11,0000104869,Suzhou Brightway Electronics Industrial Corp.,CMP-FST-0175,torx screw 068,51,KPC,0.10,1,USD,"5,100.00",CIF,TWTPE,MER-DC-GB-01,2024-12-06,P106,CANCELLED
4500087141,00030,NB,2024-10-11,0000104869,Suzhou Brightway Electronics Industrial Corp.,CMP-FST-0375,torx screw 276,3927,EA,14.00,100,USD,549.78,CIF,TWTPE,MER-DC-MX-01,2024-12-06,P106,CANCELLED
4500087148,00010,NB,2024-10-16,0000112952,Volta Precision Joint Stock Company,CMP-ENC-0118,machined housing 019,12304,EA,777.00,100,USD,"95,602.08",CIF,JPNGO,MER-DC-GB-01,2024-12-12,P102,CLOSED
4500087148,00020,NB,2024-10-16,0000112952,Volta Precision Joint Stock Company,CMP-ENC-0318,machined housing 219,10211,EA,"1,105.00",100,USD,"112,831.55",CIF,JPNGO,MER-DC-MX-01,2024-12-12,P102,OPEN
4500087148,00030,NB,2024-10-16,0000112952,Volta Precision Joint Stock Company,CMP-ENC-0118,machined housing 019,7762,EA,77.70,10,USD,"USD 60,310.74",CIF,JPNGO,MER-DC-SG-01,2024-12-12,P102,CANCELLED
4500087154,00010,ZNB,2024-10-21,0000106239,"Chengdu Skylark Components Co., Ltd.",CMP-CBL-0345,flex ribbon cable 246 - expedite,7946,PC,1.82,1,USD,"USD 14,461.72",CIF,TWTPE,MER-DC-MX-01,2024-12-18,P107,OPEN
4500087154,00020,ZNB,2024-10-21,0000106239,"Chengdu Skylark Components Co., Ltd.",CMP-CBL-0145,flex ribbon cable 046,18001,EA,21.80,10,USD,"39,242.18",CIF,TWTPE,MER-DC-SG-01,2024-12-18,P107,CLOSED
4500087154,00030,ZNB,2024-10-21,0000106239,"Chengdu Skylark Components Co., Ltd.",CMP-CBL-0345,flex ribbon cable 246,16061,EA,18.20,10,USD,"USD 29,231.02",CIF,TWTPE,MER-3PL-US-01,2024-12-18,P107,CLOSED
4500087161,00010,NB,2024-10-26,0000125282,Can Tho Microsystems Industrial Corp.,CMP-ADH-0248,structural adhesive 149,44,KPC,224.00,100,USD,"98,560.00",DAP,JPNGO,MER-DC-SG-01,2024-12-24,P102,CLOSED
4500087161,00020,NB,2024-10-26,0000125282,Can Tho Microsystems Industrial Corp.,CMP-ADH-0248,structural adhesive 149,44,KPC,224.00,100,USD,"98,560.00",DAP,JPNGO,MER-3PL-US-01,2024-12-24,P102,CANCELLED
4500087164,00010,NB,2024-10-31,0000109253,Keelung Acoustics Industrial Corp.,CMP-FST-0439,torx screw 340,36,KPC,2.88,1,TWD,"3,240.00",CIF,VNSGN,MER-3PL-US-01,2024-12-30,P103,CLOSED
4500087164,00020,NB,2024-10-31,0000109253,Keelung Acoustics Industrial Corp.,CMP-FST-0239,torx screw 140,41,KPC,38.40,10,TWD,"USD 4,920.00",CIF,VNSGN,MER-3PL-PL-02,2024-12-30,P103,CANCELLED
4500087172,00010,NB,2024-11-05,0000105280,Taoyuan Optics Joint Stock Company,CMP-ENC-0206,machined housing 107 - expedite,2088,PC,"2,040.00",1000,USD,"4,259.52",DAP,CNYTN,MER-3PL-PL-02,2025-01-05,P101,CANCELLED
4500087172,00020,NB,2024-11-05,0000105280,Taoyuan Optics Joint Stock Company,CMP-ENC-0406,machined housing 307 - expedite,15327,EA,42.00,10,USD,"USD 64,373.40",DAP,CNYTN,MER-3PL-MY-03,2025-01-05,P101,CLOSED
4500087179,00010,NB,2024-11-10,0000116514,Daegu Polymer Industrial Corp.,CMP-ADH-0320,structural adhesive 221,9127,EA,45.12,1,TWD,"USD 12,869.07",DDP,CNXMN,MER-3PL-MY-03,2025-01-11,P102,CANCELLED
4500087186,00010,NB,2024-11-15,0000107061,Tainan Metalworks Industrial Corp.,CMP-FST-0207,torx screw 108,3299,EA,4.48,1,TWD,USD 461.86,EXW,KRPUS,MER-DC-US-01,2025-01-17,P105,CLOSED
4500087186,00020,NB,2024-11-15,0000107061,Tainan Metalworks Industrial Corp.,CMP-FST-0407,torx screw 308,13237,EA,928.00,100,TWD,"3,838.73",EXW,KRPUS,MER-DC-US-02,2025-01-17,P105,CANCELLED
4500087186,00030,NB,2024-11-15,0000107061,Tainan Metalworks Industrial Corp.,CMP-FST-0207,torx screw 108,1368,PC,"4,480.00",1000,TWD,191.52,EXW,KRPUS,MER-DC-US-03,2025-01-17,P105,OPEN
4500087194,00010,NB,2024-11-20,0000104732,"Hailong Precision Industry Co., Ltd.",MRO-GEN-0700,maintenance supply item 00 - expedite,6121,EA,"9,344.16",10,CNY,"USD 794,383.38",DDP,CNXMN,MER-DC-US-02,2025-01-23,P106,CLOSED
4500087194,00020,NB,2024-11-20,0000104732,"Hailong Precision Industry Co., Ltd.",CMP-DSP-0451,6.7-inch OLED display module,3,KPC,300.96,1,CNY,"USD 125,400.00",DDP,CNXMN,MER-DC-US-03,2025-01-23,P106,CLOSED
4500087201,00010,ZNB,2024-11-25,0000111308,"Quang Nam Precision Industry Co, Ltd",CMP-BAT-0194,Li-ion battery pack 095,17994,EA,63.22,1,CNY,"157,987.32",DAP,CNYTN,MER-DC-US-03,2025-01-29,P101,CLOSED
4500087203,00010,NB,2024-11-30,0000105828,"Pusan Display Industry Co., Ltd.",CMP-BAT-0314,Li-ion battery pack 215,3366,EA,"9,540.00",100,CNY,"44,599.50",EXW,KRPUS,MER-DC-US-04,2025-02-04,P106,CLOSED
4500087207,00010,NB,2024-12-05,0000121309,Hsinchu Electronics Industrial Corp.,CMP-FST-0215,torx screw 116,21,KPC,1.28,1,TWD,840.00,EXW,CNSHA,MER-DC-US-05,2025-02-10,P102,OPEN
4500087207,00020,NB,2024-12-05,0000121309,Hsinchu Electronics Industrial Corp.,CMP-FST-0415,torx screw 316 - expedite,9926,EA,3.52,1,TWD,"1,091.86",EXW,CNSHA,MER-DC-US-06,2025-02-10,P102,CLOSED
4500087207,00030,NB,2024-12-05,0000121309,Hsinchu Electronics Industrial Corp.,CMP-FST-0215,torx screw 116,7596,EA,1.28,1,TWD,303.84,EXW,CNSHA,MER-DC-NL-01,2025-02-10,P102,CANCELLED
4500087209,00010,NB,2024-12-10,0000108294,Foshan Ridge Polymer Corporation,CMP-PCB-0100,main logic board assembly 001 - expedite,2268,EA,"9,166.70",1,JPY,"134,129.52",DDP,KRPUS,MER-DC-US-06,2025-02-16,P106,CLOSED
4500087209,00020,NB,2024-12-10,0000108294,Foshan Ridge Polymer Corporation,CMP-PCB-0300,main logic board assembly 201,17381,EA,"583,265.00",100,JPY,"654,047.03",DDP,KRPUS,MER-DC-NL-01,2025-02-16,P106,CLOSED
4500087216,00010,NB,2024-12-15,0000105006,Kunshan Polymer Corporation,CMP-PCB-0252,main logic board assembly 153,7123,EA,"4,972.40",1,JPY,"228,505.84",DAP,TWTPE,MER-DC-NL-01,2025-02-22,P100,CLOSED
4500087216,00020,NB,2024-12-15,0000105006,Kunshan Polymer Corporation,CMP-PCB-0453,main logic board assembly 354,13648,EA,"5,818,700.00",1000,JPY,"512,345.92",DAP,TWTPE,MER-DC-DE-01,2025-02-22,P100,CANCELLED
4500087223,00010,NB,2024-12-20,0000114185,"Osaka Meiwa Acoustics Industry Co., Ltd.",CMP-DSP-0411,OLED display module 312,6106,EA,"538,416.00",1000,CNY,"456,606.68",FCA,JPNGO,MER-DC-DE-01,2025-01-19,P105,CANCELLED
4500087226,00010,NB,2024-12-25,0000106513,"Gumi Electronics Industry Co., Ltd.",CMP-DSP-0299,OLED display module 200,11,KPC,"524,016.00",1000,CNY,"800,580.00",FOB,CNSHA,MER-DC-CN-01,2025-01-25,P103,CLOSED
4500087231,00010,ZNB,2024-12-30,0000128022,Yilan Polymer Corporation,CMP-PCB-0388,main logic board assembly 289,11446,EA,"12,455,800.00",1000,JPY,"919,800.56",EXW,CNSHA,MER-DC-CN-02,2025-01-31,P107,CLOSED
4500087231,00020,ZNB,2024-12-30,0000128022,Yilan Polymer Corporation,CMP-PCB-0188,main logic board assembly 089,5566,EA,"57,737.50",10,JPY,"207,333.50",EXW,CNSHA,MER-DC-JP-01,2025-01-31,P107,OPEN
4500087231,00030,ZNB,2024-12-30,0000128022,Yilan Polymer Corporation,CMP-PCB-0388,main logic board assembly 289,6702,EA,"1,245,580.00",100,JPY,"538,572.72",EXW,CNSHA,MER-DC-GB-01,2025-01-31,P107,CLOSED
4500087231,00040,ZNB,2024-12-30,0000128022,Yilan Polymer Corporation,CMP-PCB-0188,main logic board assembly 089,6903,EA,"5,773,750.00",1000,JPY,"USD 257,136.75",EXW,CNSHA,MER-DC-MX-01,2025-01-31,P107,OPEN
4500087238,00010,NB,2025-01-04,0000109938,Shaoxing Polymer Industrial Corp.,MRO-GEN-0722,maintenance supply item 22,4001,EA,"1,154,688.00",100,TWD,"USD 1,443,720.84",CIF,TWTPE,MER-DC-JP-01,2025-02-06,P101,CLOSED
4500087238,00020,NB,2025-01-04,0000109938,Shaoxing Polymer Industrial Corp.,MRO-GEN-0722,maintenance supply item 22,4001,EA,"1,154,688.00",100,TWD,"1,443,720.84",CIF,TWTPE,MER-DC-GB-01,2025-02-06,P101,OPEN
4500087238,00030,NB,2025-01-04,0000109938,Shaoxing Polymer Industrial Corp.,CMP-ADH-0424,structural adhesive 325,41,KPC,"109,440.00",1000,TWD,"USD 140,220.00",CIF,TWTPE,MER-DC-MX-01,2025-02-06,P101,CANCELLED
4500087245,00010,NB,2025-01-09,0000105417,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0484,OLED display module 385,19628,EA,"2,194.56",10,CNY,"598,261.44",FCA,CNYTN,MER-DC-GB-01,2025-02-12,P104,CANCELLED
4500087245,00020,NB,2025-01-09,0000105417,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0283,OLED display module 176,46,KPC,476.93,1,CNY,"3,047,040.00",FCA,CNYTN,MER-DC-MX-01,2025-02-12,P104,CANCELLED
4500087245,00030,NB,2025-01-09,0000105417,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0484,OLED display module 385,14379,EA,"219,456.00",1000,CNY,"438,271.92",FCA,CNYTN,MER-DC-SG-01,2025-02-12,P104,CANCELLED
4500087245,00040,NB,2025-01-09,0000105417,"Nagoya Metalworks Industry Co., Ltd.",CMP-DSP-0283,OLED display module 176,11249,EA,476.93,1,CNY,"745,133.76",FCA,CNYTN,MER-3PL-US-01,2025-02-12,P104,CLOSED
4500087247,00010,NB,2025-01-14,0000118158,Gwangju Polymer Corporation,CMP-PCB-0244,main logic board assembly 145,7047,EA,"1,115,070.00",100,JPY,"USD 506,961.18",DAP,CNYTN,MER-DC-MX-01,2025-02-18,P108,CLOSED
4500087247,00020,NB,2025-01-14,0000118158,Gwangju Polymer Corporation,CMP-PCB-0444,main logic board assembly 345,12621,EA,"589,775.00",100,JPY,"480,229.05",DAP,CNYTN,MER-DC-SG-01,2025-02-18,P108,CLOSED
4500087247,00030,NB,2025-01-14,0000118158,Gwangju Polymer Corporation,CMP-PCB-0244,main logic board assembly 145,17336,EA,"11,150.70",1,JPY,"1,247,151.84",DAP,CNYTN,MER-3PL-US-01,2025-02-18,P108,CLOSED
4500087251,00010,NB,2025-01-19,0000107472,Qingdao Pearl Display Joint Stock Company,CMP-ENC-0438,machined housing 339,2963,PC,"10,190.00",1000,USD,"30,192.97",FOB,CNXMN,MER-DC-SG-01,2025-02-24,P102,OPEN
