CONTRACT_NUMBER,SUPPLIER_ID,SUPPLIER_LEGAL_NAME,DUNS_NUMBER,CONTRACT_TYPE,EFFECTIVE_DATE,EXPIRATION_DATE,AUTO_RENEWAL_FLAG,PAYMENT_TERMS,DEFAULT_INCOTERMS,INCOTERMS_NAMED_PLACE,ANNUAL_COMMITTED_SPEND,COMMITMENT_CURRENCY,REBATE_PCT,SUPPLIER_COUNTRY,GOVERNING_LAW,BUYER_ENTITY,STATUS
MSA-2019-0148,0000106650,Da Nang Polymer Industrial Corp.,604424678,MSA,2019-05-14,2022-05-14,N,NET60,EXW,TWKHH port of loading,"9,550,000",USD,2.5,TW,Taiwan,Meridian Devices Inc.,EXPIRED
MSA-2024-0149,0000106650,Da Nang Polymer Industrial Corp.,604424678,MSA,2024-06-15,2027-06-15,,NET60,EXW,VNSGN port of loading,"9,550,000",USD,,TW,Taiwan,Meridian International B.V.,ACTIVE
AMD-2025-0150,0000106650,Da Nang Polymer Industrial Corp.,604424678,AMENDMENT,2025-07-16,2027-07-16,Y,NET60,EXW,KRPUS port of loading,,USD,0.0,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0151,0000106787,Xiamen Harbor Energy Inc.,604425655,MSA,2019-08-17,2022-08-17,N,2/10NET30,CIF,CNXMN port of loading,"9,875,000",USD,1.5,US,New York,Meridian Devices Inc.,EXPIRED
MSA-2024-0152,0000106787,Xiamen Harbor Energy Inc.,604425655,MSA,2024-09-18,2027-09-18,,2/10NET30,CIF,TWTPE port of loading,"9,875,000",USD,2.0,US,New York,Meridian International B.V.,ACTIVE
AMD-2025-0153,0000106787,Xiamen Harbor Energy Inc.,604425655,AMENDMENT,2025-10-19,2027-10-19,Y,2/10NET30,CIF,TBD,,USD,2.5,US,New York,Meridian Trading (Shanghai) Co.,ACTIVE
SOW-2025-0154,0000106787,Xiamen Harbor Energy Inc.,604425655,SOW,2025-11-20,2027-11-20,N,2/10NET30,CIF,CNYTN port of loading,,,,US,New York,Meridian Devices Inc.,ACTIVE
MSA-2019-0155,0000106924,"Wuxi Crane Optics Industry Co., Ltd.",604426632,MSA,2019-12-21,2022-12-21,,NET30,DDP,VNSGN port of loading,"10,200,000",USD,0.0,CN,PRC,Meridian International B.V.,EXPIRED
MSA-2024-0156,0000106924,"Wuxi Crane Optics Industry Co., Ltd.",604426632,MSA,2024-01-22,2027-01-22,Y,NET30,DDP,KRPUS port of loading,"10,200,000",USD,1.5,CN,New York,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0157,0000106924,"Wuxi Crane Optics Industry Co., Ltd.",604426632,AMENDMENT,2025-02-23,2027-02-23,N,NET30,DDP,JPNGO port of loading,,USD,2.0,CN,PRC,Meridian Devices Inc.,ACTIVE
MSA-2019-0158,0000107061,Tainan Metalworks Industrial Corp.,604427609,MSA,2019-03-24,2022-03-24,,NET45,DAP,TWTPE port of loading,"10,525,000",USD,2.5,TW,Taiwan,Meridian International B.V.,EXPIRED
MSA-2024-0159,0000107061,Tainan Metalworks Industrial Corp.,604427609,MSA,2024-04-25,2027-04-25,Y,NET45,DAP,CNSHA port of loading,"10,525,000",USD,,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0160,0000107061,Tainan Metalworks Industrial Corp.,604427609,AMENDMENT,2025-05-26,2027-05-26,N,NET45,DAP,CNYTN port of loading,,USD,0.0,TW,Taiwan,Meridian Devices Inc.,ACTIVE
MSA-2019-0161,0000107198,Yokohama Kiyo Microsystems Corporation,604428586,MSA,2019-06-27,2022-06-27,,NET60,FOB,VNSGN port of loading,"10,850,000",USD,1.5,JP,Japan,Meridian Trading (Shanghai) Co.,EXPIRED
MSA-2024-0162,0000107198,Yokohama Kiyo Microsystems Corporation,604428586,MSA,2024-07-01,2027-07-01,Y,NET60,FOB,KRPUS port of loading,"10,850,000",USD,2.0,JP,Japan,Meridian Devices Inc.,ACTIVE
AMD-2025-0163,0000107198,Yokohama Kiyo Microsystems Corporation,604428586,AMENDMENT,2025-08-02,2027-08-02,N,NET60,FOB,JPNGO port of loading,,USD,2.5,JP,Japan,Meridian International B.V.,ACTIVE
SOW-2025-0164,0000107198,Yokohama Kiyo Microsystems Corporation,604428586,SOW,2025-09-03,2027-09-03,,NET60,FOB,CNXMN port of loading,,,,JP,Japan,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0165,0000107335,"Incheon Circuit Co., Ltd.",604429563,MSA,2019-10-04,2022-10-04,Y,2/10NET30,FCA,CNSHA port of loading,"11,175,000",EUR,0.0,KR,South Korea,Meridian Devices Inc.,EXPIRED
MSA-2024-0166,0000107335,"Incheon Circuit Co., Ltd.",604429563,MSA,2024-11-05,2027-11-05,N,2/10NET30,FCA,CNYTN port of loading,"11,175,000",USD,1.5,KR,South Korea,Meridian International B.V.,ACTIVE
AMD-2025-0167,0000107335,"Incheon Circuit Co., Ltd.",604429563,AMENDMENT,2025-12-06,2027-12-06,,2/10NET30,FCA,TWKHH port of loading,,USD,2.0,KR,South Korea,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0168,0000107472,Qingdao Pearl Display Joint Stock Company,604430540,MSA,2019-01-07,2022-01-07,Y,NET30,EXW,KRPUS port of loading,"11,500,000",USD,2.5,VN,Vietnam,Meridian Devices Inc.,EXPIRED
MSA-2024-0169,0000107472,Qingdao Pearl Display Joint Stock Company,604430540,MSA,2024-02-08,2027-02-08,N,NET30,EXW,JPNGO port of loading,"11,500,000",USD,,VN,New York,Meridian International B.V.,ACTIVE
AMD-2025-0170,0000107472,Qingdao Pearl Display Joint Stock Company,604430540,AMENDMENT,2025-03-09,2027-03-09,,NET30,EXW,TBD,,USD,0.0,VN,Vietnam,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0171,0000107609,"Zhuhai Coral Acoustics Industry Co., Ltd.",604431517,MSA,2019-04-10,2022-04-10,Y,NET45,CIF,CNSHA port of loading,"11,825,000",USD,1.5,CN,PRC,Meridian Devices Inc.,EXPIRED
MSA-2024-0172,0000107609,"Zhuhai Coral Acoustics Industry Co., Ltd.",604431517,MSA,2024-05-11,2027-05-11,N,NET45,CIF,CNYTN port of loading,"11,825,000",USD,2.0,CN,PRC,Meridian International B.V.,ACTIVE
AMD-2025-0173,0000107609,"Zhuhai Coral Acoustics Industry Co., Ltd.",604431517,AMENDMENT,2025-06-12,2027-06-12,,NET45,CIF,TWKHH port of loading,,USD,2.5,CN,PRC,Meridian Trading (Shanghai) Co.,ACTIVE
SOW-2025-0174,0000107609,"Zhuhai Coral Acoustics Industry Co., Ltd.",604431517,SOW,2025-07-13,2027-07-13,Y,NET45,CIF,VNSGN port of loading,,,,CN,PRC,Meridian Devices Inc.,ACTIVE
MSA-2019-0175,0000107746,Kaohsiung Tooling Industrial Corp.,604432494,MSA,2019-08-14,2022-08-14,N,NET60,DDP,JPNGO port of loading,"12,150,000",USD,0.0,TW,Taiwan,Meridian International B.V.,EXPIRED
MSA-2024-0176,0000107746,Kaohsiung Tooling Industrial Corp.,604432494,MSA,2024-09-15,2027-09-15,,NET60,DDP,CNXMN port of loading,"12,150,000",EUR,1.5,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0177,0000107746,Kaohsiung Tooling Industrial Corp.,604432494,AMENDMENT,2025-10-16,2027-10-16,Y,NET60,DDP,TWTPE port of loading,,USD,2.0,TW,Taiwan,Meridian Devices Inc.,ACTIVE
MSA-2019-0178,0000107883,Sendai Components Inc.,604433471,MSA,2019-11-17,2022-11-17,N,2/10NET30,DAP,CNYTN port of loading,"12,475,000",USD,2.5,US,New York,Meridian International B.V.,EXPIRED
MSA-2024-0179,0000107883,Sendai Components Inc.,604433471,MSA,2024-12-18,2027-12-18,,2/10NET30,DAP,TWKHH port of loading,"12,475,000",USD,,US,New York,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0180,0000107883,Sendai Components Inc.,604433471,AMENDMENT,2025-01-19,2027-01-19,Y,2/10NET30,DAP,VNSGN port of loading,,USD,0.0,US,New York,Meridian Devices Inc.,ACTIVE
MSA-2019-0181,0000108020,"Ulsan Precision Industry Co., Ltd.",604434448,MSA,2019-02-20,2022-02-20,N,NET30,FOB,JPNGO port of loading,"12,800,000",USD,1.5,CN,PRC,Meridian Trading (Shanghai) Co.,EXPIRED
MSA-2024-0182,0000108020,"Ulsan Precision Industry Co., Ltd.",604434448,MSA,2024-03-21,2027-03-21,,NET30,FOB,CNXMN port of loading,"12,800,000",USD,2.0,CN,New York,Meridian Devices Inc.,ACTIVE
AMD-2025-0183,0000108020,"Ulsan Precision Industry Co., Ltd.",604434448,AMENDMENT,2025-04-22,2027-04-22,Y,NET30,FOB,TWTPE port of loading,,USD,2.5,CN,PRC,Meridian International B.V.,ACTIVE
SOW-2025-0184,0000108020,"Ulsan Precision Industry Co., Ltd.",604434448,SOW,2025-05-23,2027-05-23,N,NET30,FOB,CNSHA port of loading,,,,CN,PRC,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0185,0000108157,Haiphong Electronics Industrial Corp.,604435425,MSA,2019-06-24,2022-06-24,,NET45,FCA,TWKHH port of loading,"13,125,000",USD,0.0,TW,Taiwan,Meridian Devices Inc.,EXPIRED
MSA-2024-0186,0000108157,Haiphong Electronics Industrial Corp.,604435425,MSA,2024-07-25,2027-07-25,Y,NET45,FCA,VNSGN port of loading,"13,125,000",USD,1.5,TW,Taiwan,Meridian International B.V.,ACTIVE
AMD-2025-0187,0000108157,Haiphong Electronics Industrial Corp.,604435425,AMENDMENT,2025-08-26,2027-08-26,N,NET45,FCA,TBD,,EUR,2.0,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0188,0000108294,Foshan Ridge Polymer Corporation,604436402,MSA,2019-09-27,2022-09-27,,NET60,EXW,CNXMN port of loading,"13,450,000",USD,2.5,JP,Japan,Meridian Devices Inc.,EXPIRED
MSA-2024-0189,0000108294,Foshan Ridge Polymer Corporation,604436402,MSA,2024-10-01,2027-10-01,Y,NET60,EXW,TWTPE port of loading,"13,450,000",USD,,JP,Japan,Meridian International B.V.,ACTIVE
AMD-2025-0190,0000108294,Foshan Ridge Polymer Corporation,604436402,AMENDMENT,2025-11-02,2027-11-02,N,NET60,EXW,CNSHA port of loading,,USD,0.0,JP,Japan,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0191,0000108431,"Taichung Energy Co., Ltd.",604437379,MSA,2019-12-03,2022-12-03,,2/10NET30,CIF,TWKHH port of loading,"13,775,000",USD,1.5,KR,South Korea,Meridian Devices Inc.,EXPIRED
MSA-2024-0192,0000108431,"Taichung Energy Co., Ltd.",604437379,MSA,2024-01-04,2027-01-04,Y,2/10NET30,CIF,VNSGN port of loading,"13,775,000",USD,2.0,KR,South Korea,Meridian International B.V.,ACTIVE
AMD-2025-0193,0000108431,"Taichung Energy Co., Ltd.",604437379,AMENDMENT,2025-02-05,2027-02-05,N,2/10NET30,CIF,KRPUS port of loading,,USD,2.5,KR,South Korea,Meridian Trading (Shanghai) Co.,ACTIVE
SOW-2025-0194,0000108431,"Taichung Energy Co., Ltd.",604437379,SOW,2025-03-06,2027-03-06,,2/10NET30,CIF,JPNGO port of loading,,,,KR,South Korea,Meridian Devices Inc.,ACTIVE
MSA-2019-0195,0000108568,Kyoto Hana Optics Joint Stock Company,604438356,MSA,2019-04-07,2022-04-07,Y,NET30,DDP,TWTPE port of loading,"14,100,000",USD,0.0,VN,New York,Meridian International B.V.,EXPIRED
MSA-2024-0196,0000108568,Kyoto Hana Optics Joint Stock Company,604438356,MSA,2024-05-08,2027-05-08,N,NET30,DDP,CNSHA port of loading,"14,100,000",USD,1.5,VN,Vietnam,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0197,0000108568,Kyoto Hana Optics Joint Stock Company,604438356,AMENDMENT,2025-06-09,2027-06-09,,NET30,DDP,CNYTN port of loading,,USD,2.0,VN,Vietnam,Meridian Devices Inc.,ACTIVE
MSA-2019-0198,0000108705,"Daegu Metalworks Industry Co., Ltd.",604439333,MSA,2019-07-10,2022-07-10,Y,NET45,DAP,VNSGN port of loading,"14,425,000",EUR,2.5,CN,PRC,Meridian International B.V.,EXPIRED
MSA-2024-0199,0000108705,"Daegu Metalworks Industry Co., Ltd.",604439333,MSA,2024-08-11,2027-08-11,N,NET45,DAP,KRPUS port of loading,"14,425,000",USD,,CN,PRC,Meridian Trading (Shanghai) Co.,ACTIVE
AMD-2025-0200,0000108705,"Daegu Metalworks Industry Co., Ltd.",604439333,AMENDMENT,2025-09-12,2027-09-12,,NET45,DAP,JPNGO port of loading,,USD,0.0,CN,PRC,Meridian Devices Inc.,ACTIVE
MSA-2019-0201,0000108842,Binh Duong Microsystems Industrial Corp.,604440310,MSA,2019-10-13,2022-10-13,Y,NET60,FOB,TWTPE port of loading,"14,750,000",USD,1.5,TW,Taiwan,Meridian Trading (Shanghai) Co.,EXPIRED
MSA-2024-0202,0000108842,Binh Duong Microsystems Industrial Corp.,604440310,MSA,2024-11-14,2027-11-14,N,NET60,FOB,CNSHA port of loading,"14,750,000",USD,2.0,TW,Taiwan,Meridian Devices Inc.,ACTIVE
AMD-2025-0203,0000108842,Binh Duong Microsystems Industrial Corp.,604440310,AMENDMENT,2025-12-15,2027-12-15,,NET60,FOB,CNYTN port of loading,,USD,2.5,TW,Taiwan,Meridian International B.V.,ACTIVE
SOW-2025-0204,0000108842,Binh Duong Microsystems Industrial Corp.,604440310,SOW,2025-01-16,2027-01-16,Y,NET60,FOB,TBD,,,,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0205,0000108979,Hefei Summit Circuit Inc.,604441287,MSA,2019-02-17,2022-02-17,N,2/10NET30,FCA,KRPUS port of loading,"15,075,000",USD,0.0,US,New York,Meridian Devices Inc.,EXPIRED
MSA-2024-0206,0000108979,Hefei Summit Circuit Inc.,604441287,MSA,2024-03-18,2027-03-18,,2/10NET30,FCA,JPNGO port of loading,"15,075,000",USD,1.5,US,New York,Meridian International B.V.,ACTIVE
AMD-2025-0207,0000108979,Hefei Summit Circuit Inc.,604441287,AMENDMENT,2025-04-19,2027-04-19,Y,2/10NET30,FCA,CNXMN port of loading,,USD,2.0,US,New York,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0208,0000109116,"Hangzhou Lake Display Industry Co., Ltd.",604442264,MSA,2019-05-20,2022-05-20,N,NET30,EXW,CNSHA port of loading,"15,400,000",USD,2.5,CN,New York,Meridian Devices Inc.,EXPIRED
MSA-2024-0209,0000109116,"Hangzhou Lake Display Industry Co., Ltd.",604442264,MSA,2024-06-21,2027-06-21,,NET30,EXW,CNYTN port of loading,"15,400,000",EUR,,CN,PRC,Meridian International B.V.,ACTIVE
AMD-2025-0210,0000109116,"Hangzhou Lake Display Industry Co., Ltd.",604442264,AMENDMENT,2025-07-22,2027-07-22,Y,NET30,EXW,TWKHH port of loading,,USD,0.0,CN,PRC,Meridian Trading (Shanghai) Co.,ACTIVE
MSA-2019-0211,0000109253,Keelung Acoustics Industrial Corp.,604443241,MSA,2019-08-23,2022-08-23,N,NET45,CIF,KRPUS port of loading,"15,725,000",USD,1.5,TW,Taiwan,Meridian Devices Inc.,EXPIRED
MSA-2024-0212,0000109253,Keelung Acoustics Industrial Corp.,604443241,MSA,2024-09-24,2027-09-24,,NET45,CIF,JPNGO port of loading,"15,725,000",USD,2.0,TW,Taiwan,Meridian International B.V.,ACTIVE
AMD-2025-0213,0000109253,Keelung Acoustics Industrial Corp.,604443241,AMENDMENT,2025-10-25,2027-10-25,Y,NET45,CIF,CNXMN port of loading,,USD,2.5,TW,Taiwan,Meridian Trading (Shanghai) Co.,ACTIVE
SOW-2025-0214,0000109253,Keelung Acoustics Industrial Corp.,604443241,SOW,2025-11-26,2027-11-26,N,NET45,CIF,TWTPE port of loading,,,,TW,Taiwan,Meridian Devices Inc.,ACTIVE
MSA-2019-0215,0000109390,Nara Tooling Corporation,604444218,MSA,2019-12-27,2022-12-27,,NET60,DDP,CNYTN port of loading,"16,050,000",USD,0.0,JP,Japan,Meridian International B.V.,EXPIRED
