Castle 1,Why did you choose your troop deployment?
0,"You only need 28 points to win, so we will focus on winning 10, 6, 5, 4, and 3 (total 28), sending troops proportional to the point totals (rounding down for #10 since people doing complicated things are more likely to concede #10). Going all-in on a linear strategy is often good in a situation where a large part of the field is trying to out-metagame each other. This may be the situation this time since the data from the last challenge was posted!"
0,"Several months have passed since the battle of a thousand armies and a new general arrives on the battle torn lands with a sizeable army behind him. He believes that the practice of sending only one soldier to battle in the hope it would be abandoned, which was common in the first war is unethical and he vowed to send at least 3 fine soldiers to each battle, if one got wounded the plan was that one would stay behind and the other would return for help. With that in mind he still had 70 troops to send out. The general was greedy and decided he liked the look of the two largest castles, one as his home and the other as a guest house so he sent a sizeable platoon to those two. Expecting to secure at least one of the two palaces he admired most he set his 60 remaining loyal soldiers to fight for 4 other palaces. He decided to send some troops to the third outpost, a small group of buildings barley worth fighting over. The forth and fifth castles also looked inviting so he sent an larger group to them. He then had 20 soldiers left over, all eager for battle. He decided that they would be best suited to attacking the seventh fort, a fine set of buildings which were reasonably contested in previous battles. He decided that this would be where his stronghold would be and decided to command the army from there. The night before the attack a trio of soldier approached the general saying they were told to attack the smallest of the forts. They thought that their attack was pointless and against many enemies they wouldn't be needed so they requested to be promoted. The general considered this that night and in the morning he approached the three soldiers and told them he agreed with them and thought they would be more useful to him in the squadron fighting for his proposed guest house. Finally he was set for battle and gave the order to attack to his officers. The army crested the hill, ready for the fight. ""ATTACK"" the general screamed..."
2,This was one of the better performers in the simulations I ran.
0,need a total of 28 to win a battle.  concentration of forces into a few strong holds and abandon all others.  this will be clearly fail against a more balanced strategy if I loose castle 6 or 5 (assumption is I would win 10 and 9 against a balanced strategy).  a tie in castle 5 with wins in the other 3 leads to an overall tie.  I thought of adding more to 5 & 6 - even to the point of completely balancing across the 4 but I think that would be a risk against anyone using a strategy similar to mine.  it's really an all or nothing approach.  curious so see what happens.
2,I decided to focus on the (9+7+5+4+3=28) strategy. I hope that this configuration will give me the five castles that give a majority. I decided to send a few soldiers to castle 10 and 8 in order to take it in the event of my opponent taking those loosely too.
3,"It had to beat two strategies- one where every troop was deployed evenly in marginal value (so, castle 10 gets 18 troops, castle 5 gets 9 troops, etc) and it had to beat the winner last time (as that's a focal strategy that lots of people will adopt, or at least adopt a small variation on). Also, looking at the distributions from last time, many people went with 0,1, or 2 troops at some relatively high value castles, so I set a minimum of 3 troops per castle to round up some cheap points- that fits with a strategy where you want to win a castle by having just one more troop than your opponent at a given castle. Those conditions allocated over 80 of the troops. The remainder were allocated split across some of the high value castles, leaving castles 7 and 8 at low levels to provide extra troops at castles 5, 9 and 10."
1,"The equilibria of the previous tournament are almost ludicrously nonlinear. My approach is to start from the previous tournament's submissions (human nature hasn't changed much in the past few months) then add in the obvious strategies - a few dozen copycats of the top five and about a hundred copies of strategies tailored to beat the previous tournament (the best one I could find was 6-6-7-11-12-21-26-2-4-5). Once I found an optimal solution, I tweaked it some more. It's nothing like the Nash equilibrium strategy will look like; but a Nash equilibrium usually winds up in the middle of the pack and I want to win. Banzai!"
0,Modified basic data; optimalization.
5,"Punt on 7, 8, 9.  Try to win the rest."
0,"Tried to place the numbers to fall in the abandoned distribution points.  Either just ahead of the low end or just ahead of the high end.  And I want Castle 8, 6, & 5 with the hope to steal 9 or 10 or (7 + 3 or 4)."
2,Modified the winners strategy but gave up on 8 and put more resources elsewhere. Figured a lot of people would follow the old results.
1,"I expect the ""abandon 9 and 10"" strategy to not be as widespread this time, so substantial resources have to be deployed there this time. I chose to abandon 8 and 6 with half-effort in 10 and 9 - the goal is to beat the people who mostly abandon 10 and 9, and split with people who fight hard for just 1 of those two castles."
3,"I aimed for something that could do well against the naive strategies, the past results, and the people trying to learn from the last winner. I targeted castle 9, sacrificed castles 5 and 8, and had a good spread of the rest. I have a good chance of getting 19-25 points in the top 5 castles plus just enough of the lower 4 to give me over half the points."
3,next level
8,"The goal of the game is not to win as many castle as possible, its to get 28 points. The easy way (looking at the graphs) to do this it to win castles 10,9,8,and 1. The hardest of these is 8 so I invest enough to beat most people on 8 first. I then invest enough to win 1 and 2 as a back up for 1. This leaves me with 49 points. I place one on the castles I'm not going for because the ROI is ridiculously high. (Around 8% chance of getting the points for 1 troop) and split the final 22 between 10 and 9 which should be enough to win most of the time."
1,"This time we're aiming for a 10, 9, any 2 of <6, 5, 4> strategy."
4,Just tried to figure out where I would have put my troops as a level 0 strategy and then one-uped all the other castles while sacrificing one of them.
2,Increasing all biggish castles slightly from last winner except 8. Trying to end amounts in a 2 or 7; seems less common than 0/5 or 1/6.
10,Intuitiveness
5,"Given the previous troop deployment, this is the optimal strategy. Assuming your readers don't learn, this wins about 90% of battles. But it may be worse if they do in fact read and learn"
1,https://pastebin.com/LSXrjJJV
5,Let Castle 8 go.... Keep something on the lower numbers and not go overboard on 9 and 10!
0,not enough time to submit too.
2,Avi Mahajan
4,I assume the bulk of players aren't going to change their strategy. I then select levels that seem to be just to the right of a large area of the curve.
6,"This troop deployment was quasi-random with a slight bias towards low-value castles and a bigger bias towards high-value castles, mostly ignoring medium-value castles, since those will probably be hotly contested."
7,Totally random distribution
4,"You only need 28 points to win, so I know that 1-7 equals 28 and I went for it."
2,geddylee1717@yahoo.com
0,https://github.com/norvig/pytudes/blob/master/Riddler%20Battle%20Royale.ipynb
2,"win a decent amount of 9 and 10 because everyone will lowball them based on the data, forfeit 8 and try to win 4-7 at a decent clip"
7,"Ideally, I will win castles 10, 9, 8, and 1, giving me 27 points. Especially for 10 and 9, a majority of people put less than 10, and those who put more usually put 20 or more troops there. To defend against someone gaining the 9 or the 8, I have put many troops on the 4 and 5 castles to gain 9 points back. In addition, I have scattered a few troops on the rest of the towers in the hopes that some people put no (or very few) troops there."
5,Need 28 points to win the battle. So I go aggressive on small numbers (1-4) and super aggressive on 8 and 10. 1+2+3+4+8+10 = 28. Left 5 each for 5-7 and 9 for in case of a steal.
7,"I first redistributed to beat the original distribution, but assumed everyone else would do that. So I redistributed again to beat that distribution."
0,"Going for close wins and major losses. Hoping to win 7-9 and 3&4. Will lose to opponents who used more than placeholders anywhere, but hopefully get lots of wins in the two groups that can help reach 28."
0,"I programmed a solver in Python to find optimal solutions for a given field by evaluating all nearest neighbors, then stepping in the best direction until no step improves the strategy, i.e. gives it a better win-loss% for the given field. In the case of 10 castles, there are 81 nearest neighbors, which can be found by adding a single troop to one castle while subtracting one from another. This strategy finds locally optimal solutions (not better than any neighbor), but by re-starting the solver from different random entries, one can be relatively certain (~95%) of having found the global optima after around 100 random starts. I used this to find all locally optimal solutions greater than the 90th-percentile entry in the original field. Since some of those entries are very close to each other (but greater than one step obviously), I filtered those for only the top solutions more than 5 steps apart to avoid repeating similar strategies. This left me with 365 locally optimal entries, which I combined with the top 10% of entries from round 1 for a theoretical round 2 field. My submission is the globally optimal solution for this ""round 2"" field. Fingers crossed!"
0,"Based on how many folks de-emphasized going after Castles 9 and 10 last time, I figure there's a minor market inefficiency there, and increased my deployments. Others no doubt noticed the same thing, so I didn't go overboard; might be enough to steal them in a few showdowns, but without putting all my eggs in those baskets. As before, the majority of my efforts go towards Castles 7 and 8, with an additional over-deployment for Castle 4. The rest are essentially punted (I gave myself a chance to steal or split on 5 and 6, just in case). Generally speaking, I feel like this gives me a chance to steal either 9 or 10 in some battles, with 7 and 8 going to me in almost all. Making sure I can take #4 is all I need to reach 28 points if I do manage to catch 3 of the top 4. It'll come down how others adjust to the realization that 9 and 10 are ripe for the pickin's based on last time around, and if they choose to put even more of their resources into the top 2 castles. If they do, then I could be in trouble."
6,I chose numbers that were slightly larger than the key clusters shown in the prior results.  I generally bumped my troops up one or two from those clusters (anticipating that others might use this same strategy).
3,Science! And maths! With data! And computers!
0,"Looked for holes and inflections in prior troop deployment data.  Decided to commit at least a couple to almost all castles (except 1), to pick up cheap points, if opponent goes 0 on some."
1,"i counted up by perfect squares, then down to 7, then used the rest.  nothing brilliant bro."
7,"It's a simple all or nothing assault. The goal is to directly seize the 28 points needed to win. The 10, 9, 8, and 1 castles do just this. Contesting any other fortress distracts from this goal. The strategy is designed to overwhelm balanced assaults on the various castles."
7,"The total number of points is 55, so a player needs more than 27.5 points to win. From  there, I decided to minimize the number of castles that must be conquered (although that strategy runs contrary to what the previous winner did) in order to maximize the number of troops that can be sent to each one.

Using the previous contest's distribution, I (not very rigorously) determined that I would only send 7 troops to Castle 1. The resulting occurrence of sending 31 troops to each remaining castle was a happy accident (although, I wanted to divide them up as evenly as possible; if I lose one castle, I almost definitely lose, so in a sense they should all be weighted equally. However, the opponent might choose to send troops based more strictly on the proportion of points that each castle offers, in which case I would have to re-evaluate my divisions)."
7,Win all my castles with troops.
7,Win the fewest number of castles needed by loading them up with troops.
0,"This has the best record against the original batch, plus a smaller batch that all have the best record against all the aforementioned deployments, plus a smaller batch that all have the best record against all the aforementioned deployments, etc."
1,"This approach aims to win with castles 10, 6, 5, 4, and 3. I'm hoping people will either avoid castle 10 or try to win it cheaply, and give less support to castles 3-6."
4,Above 50% on previous plans
4,"Simple, balanced strategy, trying to beat players who attack the middle hard and sacrifice too much at the top and bottom."
13,Because you asked me to.
1,"DAW: Too many people cared about 8 last time. I'm aiming at a 9-7-5-4-3 combo most of the time, with some hedged soldiers at 10 and 6."
