EV_ID,NTSB_NO,EV_DATE,EV_CITY,EV_STATE,EV_TYPE,ACFT_REGIST_NMBR,ACFT_MAKE,ACFT_MODEL,OPERATOR,INJ_TOT_F,DAMAGE,NARR_CAUSE
19911011X73001,ERA91CA488,1991-10-11,St. Louis,MO,ACC,N90835,AERONCA,7AC,,0,MINR,"The pilot's failure to maintain airspeed during cruise flight, which resulted in an aerodynamic stall. Contributing to the accident was the obscured horizon reference."
19920130X46093,DCA92LA660,1992-01-30,Charleston,SC,INC,N93249,Beechcraft,BARON,WELLS FARGO TRUST CO NA,0,DEST,"The pilot's improper flare during cruise flight, which resulted in a hard landing. Contributing to the accident was the gusting crosswind."
19920229X24114,WPR92LA141,1992-02-29,Norfolk,VA,ACC,N37213,Piper,PA-31-350,HILL ROBERT G,1,NONE,"The pilot's inadequate preflight inspection during landing, which resulted in a hard landing. Contributing to the accident was the dark night conditions."
19920311X23474,WPR92LA399,1992-03-11,San Francisco,CA,ACC,N835YA,TAYLORCRAFT,BC12-D,,0,NONE,"The pilot's inadequate preflight inspection during landing, which resulted in a runway excursion. Contributing to the accident was the dark night conditions."
19921101X70365,CEN92FA645,1992-11-01,Syracuse,NY,INC,N639WV,ROBINSON,R66,BLUE RIDGE HELICOPTERS LLC,3,DEST,"The pilot's delayed go-around decision during approach, which resulted in a nose-over. Contributing to the accident was the dark night conditions."
19930307X18870,WPR93FA575,1993-03-07,Cincinnati,KY,INC,N2583S,BOMBARDIER,GLOBAL EXPRESS,MERIDIAN AIR CHARTER LLC,0,MINR,"The pilot's failure to maintain clearance from terrain during takeoff, which resulted in a gear collapse. Contributing to the accident was the obscured horizon reference."
19930709X35657,ERA93LA327,1993-07-09,Baltimore,MD,ACC,N46136,AERONCA,7AC,,0,MINR,"The pilot's inadequate preflight inspection during landing, which resulted in a runway excursion. Contributing to the accident was the obscured horizon reference."
19950523X54778,ERA95CA296,1995-05-23,Sioux Falls,SD,ACC,N3921A,CHAMPION,7ECA,,1,MINR,"The pilot's failure to maintain clearance from terrain during takeoff, which resulted in a gear collapse. Contributing to the accident was the pilot's lack of recent experience in type."
19950527X84827,ERA95FA340,1995-05-27,Washington,VA,ACC,N9682G,TAYLORCRAFT,BC12-D,,2,NONE,"The pilot's inadequate preflight inspection during cruise flight, which resulted in a collision with terrain. Contributing to the accident was the gusting crosswind."
19950612X29285,WPR95FA482,1995-06-12,Honolulu,HI,ACC,861PM,Piper,PA-18-150,BANK OF UTAH TRUSTEE,0,MINR,"The pilot's inadequate preflight inspection during cruise flight, which resulted in a runway excursion. Contributing to the accident was the pilot's lack of recent experience in type."
19950706X72752,CEN95LA241,1995-07-06,San Diego,CA,ACC,N6751Y,Beechcraft,BARON / 55 BARON,MILLER MARY L,4,SUBS,"The pilot's inadequate preflight inspection during takeoff, which resulted in an aerodynamic stall. Contributing to the accident was the gusting crosswind."
19950713X19522,GAA95LA226,1995-07-13,Honolulu,HI,INC,N645YS,STINSON,108-3,,4,SUBS,"The pilot's failure to maintain clearance from terrain during cruise flight, which resulted in a gear collapse. Contributing to the accident was inadequate maintenance inspection."
19950719X37214,CEN95FA588,1995-07-19,Honolulu,HI,ACC,N69UY,AERONCA,7AC,,3,MINR,"The pilot's inadequate weather evaluation during cruise flight, which resulted in a ground loop. Contributing to the accident was the pilot's lack of recent experience in type."
19951019X68834,GAA95LA439,1995-10-19,Santa Ana,CA,ACC,28901,AERONCA,7AC,,0,SUBS,"The pilot's failure to maintain airspeed during landing, which resulted in a gear collapse. Contributing to the accident was the contaminated runway surface."
19960401X13077,ERA96CA188,1996-04-01,Wichita,KS,ACC,N5449N,BEECH,1900D,EMBRY RIDDLE AERONAUTICAL UNIVERSITY,2,DEST,"The pilot's delayed go-around decision during cruise flight, which resulted in a runway excursion. Contributing to the accident was inadequate maintenance inspection."
19960706X92858,ANC96LA424,1996-07-06,Oklahoma City,OK,ACC,N630LV,CHAMPION,7ECA,,3,NONE,"The pilot's failure to maintain clearance from terrain during approach, which resulted in a collision with terrain. Contributing to the accident was the obscured horizon reference."
19960809X99351,CEN96LA255,1996-08-09,Tucson,AZ,ACC,N739CZ,Cessna,210L,HILL MARK H,2,NONE,"The pilot's failure to maintain clearance from terrain during landing, which resulted in an aerodynamic stall. Contributing to the accident was the obscured horizon reference."
19960811X16052,DCA96CA282,1996-08-11,Honolulu,HI,INC,N116SH,TAYLORCRAFT,BC12-D,,1,DEST,"The pilot's failure to maintain airspeed during approach, which resulted in a collision with terrain. Contributing to the accident was the obscured horizon reference."
19970512X93887,GAA97FA455,1997-05-12,St. Louis,MO,ACC,N834EG,Piper,PA-28-161,WILLIAMS LINDA K,0,DEST,"The pilot's delayed go-around decision during takeoff, which resulted in a runway excursion. Contributing to the accident was the dark night conditions."
19970822X64277,GAA97CA248,1997-08-22,Omaha,NE,ACC,N646KP,CHAMPION,7ECA,,4,SUBS,"The pilot's inadequate preflight inspection during landing, which resulted in a collision with terrain. Contributing to the accident was the dark night conditions."
19970929X23565,ERA97CA307,1997-09-29,Portland,OR,ACC,N268JC,PIPER,PA-28 (ABOVE 200 HP),AMERIFLIGHT LLC,1,NONE,"The pilot's failure to maintain clearance from terrain during landing, which resulted in a nose-over. Contributing to the accident was the obscured horizon reference."
19971014X77930,ANC97LA615,1997-10-14,Des Moines,IA,ACC,N587XS,Piper,PA-28 (UP TO 180 HP),MILLER DANIEL M,0,SUBS,"The pilot's failure to maintain directional control during approach, which resulted in an aerodynamic stall. Contributing to the accident was the gusting crosswind."
19971208X61567,DCA97CA473,1997-12-08,Albuquerque,NM,ACC,N783SW,ROBINSON,R44 II,BLUE RIDGE HELICOPTERS LLC,,SUBS,"The pilot's inadequate weather evaluation during takeoff, which resulted in a nose-over. Contributing to the accident was the pilot's lack of recent experience in type."
19971220X75048,DCA97LA684,1997-12-20,Reno,NV,ACC,N3167Y,CESSNA,CITATION CJ3,MERIDIAN AIR CHARTER LLC,3,MINR,"The pilot's failure to maintain clearance from terrain during cruise flight, which resulted in a ground loop. Contributing to the accident was the dark night conditions."
19990506X87070,CEN99LA610,1999-05-06,Indianapolis,IN,ACC,N3752M,AERONCA,7AC,,,DEST,"The pilot's improper flare during cruise flight, which resulted in a hard landing. Contributing to the accident was the contaminated runway surface."
19990629X92012,ERA99LA360,1999-06-29,San Diego,CA,ACC,N108VT,DIAMOND,DA40,ATP FLIGHT SCHOOL LLC,4,SUBS,"The pilot's failure to maintain directional control during approach, which resulted in a runway excursion. Contributing to the accident was the gusting crosswind."
19991213X22443,ERA99FA260,1999-12-13,Lincoln,NE,ACC,N7872U,BOMBARDIER,415,AMERIFLIGHT LLC,3,SUBS,"The pilot's failure to maintain airspeed during cruise flight, which resulted in a runway excursion. Contributing to the accident was the dark night conditions."
20000206X30901,ANC00CA460,2000-02-06,Boston,MA,ACC,N614MB,Airbus,A321-211,DELTA AIR LINES INC,0,MINR,"The pilot's improper fuel management during cruise flight, which resulted in a collision with terrain. Contributing to the accident was inadequate maintenance inspection."
20000427X12106,WPR00FA194,2000-04-27,Fort Lauderdale,FL,ACC,N1359F,CIRRUS,SR20,JOHNSON MICHAEL S,1,DEST,"The pilot's delayed go-around decision during approach, which resulted in a hard landing. Contributing to the accident was the contaminated runway surface."
20000604X95473,ERA00LA184,2000-06-04,Portland,OR,ACC,N572EA,AIRBUS,A321-211,AMERICAN AIRLINES INC,2,MINR,"The pilot's failure to maintain directional control during takeoff, which resulted in a hard landing. Contributing to the accident was the dark night conditions."
20000928X54573,ERA00LA688,2000-09-28,Columbus,OH,ACC,N39ZC,Boeing,737-7H4,SOUTHWEST AIRLINES,0,SUBS,"The pilot's failure to maintain directional control during takeoff, which resulted in a runway excursion. Contributing to the accident was the obscured horizon reference."
20001210X92879,CEN00FA668,2000-12-10,Birmingham,AL,ACC,73MX,Cessna,172,ADAMS DAVID H,0,MINR,"The pilot's inadequate preflight inspection during landing, which resulted in a gear collapse. Contributing to the accident was the gusting crosswind."
20010429X34484,ANC01LA618,2001-04-29,Providence,RI,ACC,1343Z,Beechcraft,BARON / 55 BARON,REDWOOD MEDFLIGHT LLC,3,SUBS,"The pilot's failure to maintain clearance from terrain during landing, which resulted in a collision with terrain. Contributing to the accident was the gusting crosswind."
20020823X45812,DCA02CA298,2002-08-23,Columbus,OH,ACC,N8675V,Piper,PA-28 (ABOVE 200 HP),WILLIAMS JOHN H,3,DEST,"The pilot's failure to maintain airspeed during takeoff, which resulted in a runway excursion. Contributing to the accident was the pilot's lack of recent experience in type."
20030221X83374,ERA03CA510,2003-02-21,San Jose,CA,ACC,N685GH,Airbus,A300,ATLAS AIR INC,4,SUBS,"The pilot's inadequate preflight inspection during landing, which resulted in a nose-over. Contributing to the accident was the contaminated runway surface."
20031002X36828,ANC03FA200,2003-10-02,Reno,NV,ACC,57AR,BEECH,B200,MERIDIAN AIR CHARTER LLC,0,NONE,"The total loss of engine power due to fuel exhaustion, which resulted in a forced landing. Contributing was the pilot's inadequate fuel planning."
20031214X95302,DCA03LA690,2003-12-14,Baltimore,MD,ACC,N798TP,DIAMOND,DA40,CLARK PAUL H,0,SUBS,"The pilot's failure to maintain directional control during approach, which resulted in an aerodynamic stall. Contributing to the accident was the obscured horizon reference."
20040507X67563,DCA04LA157,2004-05-07,New York,NY,ACC,707RC,ROCKWELL,COMMANDER 112A,ATP FLIGHT SCHOOL LLC,2,SUBS,"The pilot's failure to maintain clearance from terrain during landing, which resulted in a hard landing. Contributing to the accident was the contaminated runway surface."
20040608X15856,ANC04CA562,2004-06-08,Windsor Locks,CT,ACC,24201,PIPER,PA-28-181,HIGH PLAINS CROP DUSTING INC,0,MINR,"The pilot's delayed go-around decision during cruise flight, which resulted in a collision with terrain. Contributing to the accident was the gusting crosswind."
20040617X88329,CEN04LA679,2004-06-17,Tucson,AZ,ACC,N295PM,ROBINSON,R22 BETA,STATE OF ALASKA,,SUBS,"The pilot's improper fuel management during cruise flight, which resulted in a collision with terrain. Contributing to the accident was the dark night conditions."
20040721X53758,DCA04LA470,2004-07-21,Colorado Springs,CO,ACC,N425WB,MOONEY,M20K,WELLS FARGO TRUST CO NA,2,SUBS,"The pilot's inadequate weather evaluation during cruise flight, which resulted in a ground loop. Contributing to the accident was the obscured horizon reference."
20040910X96750,GAA04CA522,2004-09-10,Portland,ME,ACC,458PX,STINSON,108-3,,4,SUBS,"The pilot's failure to maintain airspeed during cruise flight, which resulted in a ground loop. Contributing to the accident was the gusting crosswind."
20041008X91135,GAA04LA112,2004-10-08,Denver,CO,INC,N9698G,PIPER,PA-28 (UP TO 180 HP),AMERIFLIGHT LLC,3,SUBS,"The pilot's improper fuel management during landing, which resulted in a runway excursion. Contributing to the accident was the gusting crosswind."
20050405X10771,DCA05LA153,2005-04-05,Columbia,SC,ACC,N12329,Cessna,208B,REDWOOD MEDFLIGHT LLC,0,SUBS,"The pilot's delayed go-around decision during landing, which resulted in an aerodynamic stall. Contributing to the accident was the contaminated runway surface."
20050511X30453,ERA05FA396,2005-05-11,Manchester NH,NH,ACC,N860NP,GULFSTREAM,G280,TEXTRON AVIATION INC,3,NONE,"The pilot's failure to maintain clearance from terrain during approach, which resulted in a nose-over. Contributing to the accident was the gusting crosswind."
20050609X59303,GAA05LA582,2005-06-09,West Palm Beach,FL,ACC,N41709,AIRBUS,A310,AMERICAN AIRLINES INC,3,SUBS,"The pilot's delayed go-around decision during takeoff, which resulted in a ground loop. Contributing to the accident was inadequate maintenance inspection."
20050715X89850,WPR05LA581,2005-07-15,Richmond,VA,ACC,15597,CIRRUS,SR20,AMERIFLIGHT LLC,0,MINR,"The pilot's improper flare during landing, which resulted in an aerodynamic stall. Contributing to the accident was the pilot's lack of recent experience in type."
20051021X38330,DCA05LA303,2005-10-21,St. Louis,MO,ACC,83WX,CESSNA,152,AMERIFLIGHT LLC,3,MINR,"The pilot's delayed go-around decision during cruise flight, which resulted in a hard landing. Contributing to the accident was inadequate maintenance inspection."
20060122X93990,ERA06LA333,2006-01-22,Portland,OR,ACC,N50579,BEECH,BARON / 55 BARON,WILLIAMS JOHN H,2,SUBS,"The pilot's improper fuel management during cruise flight, which resulted in an aerodynamic stall. Contributing to the accident was the gusting crosswind."
20060305X73431,WPR06FA380,2006-03-05,Miami,FL,ACC,N202EW,AERONCA,7AC,,2,NONE,"The pilot's delayed go-around decision during takeoff, which resulted in a gear collapse. Contributing to the accident was the obscured horizon reference."
20060803X76137,GAA06FA146,2006-08-03,Tucson,AZ,ACC,N3484Z,Beechcraft,BARON,WILLIAMS JOHN H,4,NONE,"The pilot's failure to maintain airspeed during landing, which resulted in a runway excursion. Contributing to the accident was the gusting crosswind."
20061123X12169,ERA06LA632,2006-11-23,Buffalo,NY,ACC,N58774,PIPER,PA-44 SEMINOLE,MITCHELL LISA T,0,SUBS,"The pilot's improper flare during approach, which resulted in a gear collapse. Contributing to the accident was the dark night conditions."
20070315X22223,CEN07CA387,2007-03-15,Charleston,WV,ACC,N4752K,LUSCOMBE,8A,,0,MINR,"The pilot's failure to maintain clearance from terrain during landing, which resulted in a hard landing. Contributing to the accident was the obscured horizon reference."
20070714X44207,ERA07FA363,2007-07-14,Wichita,KS,ACC,N473NZ,Piper,PA-28 (ABOVE 200 HP),BAKER MARY W,0,DEST,"The pilot's inadequate weather evaluation during approach, which resulted in an aerodynamic stall. Contributing to the accident was the obscured horizon reference."
20070729X36048,GAA07LA231,2007-07-29,Reno,NV,ACC,N414MW,Piper,PA-18-150,NELSON JAMES A,3,SUBS,"The pilot's delayed go-around decision during cruise flight, which resulted in a runway excursion. Contributing to the accident was the contaminated runway surface."
20071121X95047,DCA07FA276,2007-11-21,Billings,MT,ACC,N758ER,Beechcraft,58,JOHNSON MICHAEL S,0,DEST,"The pilot's inadequate weather evaluation during landing, which resulted in a hard landing. Contributing to the accident was the dark night conditions."
20071204X59525,GAA07FA526,2007-12-04,Des Moines,IA,ACC,N606UN,BELL,206B,BLUE RIDGE HELICOPTERS LLC,0,SUBS,"The pilot's improper fuel management during landing, which resulted in a runway excursion. Contributing to the accident was the dark night conditions."
20071206X13491,ANC07LA483,2007-12-06,Newark,NJ,ACC,N2677G,Airbus,A320NEO,SOUTHWEST AIRLINES,4,MINR,"The pilot's failure to maintain directional control during approach, which resulted in a ground loop. Contributing to the accident was the obscured horizon reference."
20071216X30497,ERA07LA517,2007-12-16,Phoenix,AZ,ACC,N96772,Piper,PA-28 (UP TO 180 HP),TORRES DANIEL H,2,NONE,"The pilot's failure to maintain airspeed during landing, which resulted in a hard landing. Contributing to the accident was the contaminated runway surface."
20080525X63302,CEN08LA478,2008-05-25,Jacksonville,FL,ACC,N42MA,TAYLORCRAFT,BC12-D,,2,MINR,"The pilot's improper flare during landing, which resulted in a nose-over. Contributing to the accident was the dark night conditions."
20081016X94063,GAA08CA332,2008-10-16,Minneapolis,MN,ACC,41732,EMBRAER,ERJ 170-200 LR,ATLAS AIR INC,0,NONE,"The pilot's inadequate weather evaluation during takeoff, which resulted in an aerodynamic stall. Contributing to the accident was the pilot's lack of recent experience in type."
20090325X88209,ERA09LA417,2009-03-25,Austin,TX,ACC,514XH,DIAMOND,DA42,BANK OF UTAH TRUSTEE,0,DEST,"The pilot's inadequate weather evaluation during cruise flight, which resulted in a gear collapse. Contributing to the accident was inadequate maintenance inspection."
20090403X65234,ERA09LA665,2009-04-03,Spokane,WA,ACC,N8869J,STINSON,108-3,,3,DEST,"The pilot's delayed go-around decision during takeoff, which resulted in an aerodynamic stall. Contributing to the accident was the contaminated runway surface."
20090514X85270,ANC09FA553,2009-05-14,San Diego,CA,ACC,N8098W,EMBRAER,170,SOUTHWEST AIRLINES CO,,MINR,"The pilot's delayed go-around decision during cruise flight, which resulted in a hard landing. Contributing to the accident was the contaminated runway surface."
20090708X88569,ANC09LA365,2009-07-08,Atlanta,GA,ACC,N410VL,STINSON,108-3,,,NONE,"The pilot's failure to maintain clearance from terrain during approach, which resulted in a gear collapse. Contributing to the accident was the pilot's lack of recent experience in type."
20090814X51916,CEN09CA280,2009-08-14,Jackson,MS,ACC,630KM,CIRRUS,SR20,TEXTRON AVIATION INC,1,SUBS,"The pilot's inadequate weather evaluation during cruise flight, which resulted in an aerodynamic stall. Contributing to the accident was the dark night conditions."
20091109X37411,WPR09FA125,2009-11-09,Detroit,MI,ACC,N1394C,TAYLORCRAFT,BC12-D,,4,MINR,"The pilot's failure to maintain directional control during approach, which resulted in a runway excursion. Contributing to the accident was the obscured horizon reference."
20091220X40185,ERA09CA322,2009-12-20,Los Angeles,CA,ACC,N9701L,MAULE,M-7-235,TORRES WILLIAM S,0,DEST,"The pilot's failure to maintain clearance from terrain during approach, which resulted in a nose-over. Contributing to the accident was the gusting crosswind."
20100426X14086,GAA10LA214,2010-04-26,Tulsa,OK,ACC,N19FV,BOEING,717,ATLAS AIR INC,,MINR,"The pilot's failure to maintain airspeed during approach, which resulted in a ground loop. Contributing to the accident was inadequate maintenance inspection."
20100503X35753,ANC10LA366,2010-05-03,Spokane,WA,ACC,N9097G,CESSNA,172S,WELLS FARGO TRUST CO NA,1,SUBS,"The pilot's delayed go-around decision during approach, which resulted in an aerodynamic stall. Contributing to the accident was the gusting crosswind."
20100518X35451,DCA10LA585,2010-05-18,Portland,OR,ACC,N6379K,Beechcraft,1900D,ATLAS AIR INC,0,MINR,"The pilot's inadequate preflight inspection during approach, which resulted in a gear collapse. Contributing to the accident was the pilot's lack of recent experience in type."
20100801X77554,WPR10CA246,2010-08-01,Salt Lake City,UT,ACC,N572EA,AIRBUS,A321-211,AMERICAN AIRLINES INC,4,SUBS,"The pilot's improper flare during approach, which resulted in an aerodynamic stall. Contributing to the accident was the dark night conditions."
20110703X12364,ERA11FA203,2011-07-03,Norfolk,VA,ACC,N27AW,AERONCA,7AC,,4,NONE,"The pilot's inadequate preflight inspection during cruise flight, which resulted in a collision with terrain. Contributing to the accident was the contaminated runway surface."
20110804X48114,WPR11FA265,2011-08-04,Dallas,TX,ACC,N387TB,Beechcraft,1900,TEXTRON AVIATION INC,0,SUBS,"The pilot's failure to maintain clearance from terrain during takeoff, which resulted in a collision with terrain. Contributing to the accident was the gusting crosswind."
20120208X82929,CEN12FA650,2012-02-08,New York,NY,INC,N361BF,TAYLORCRAFT,BC12-D,,1,DEST,"The pilot's inadequate preflight inspection during takeoff, which resulted in an aerodynamic stall. Contributing to the accident was the gusting crosswind."
20120226X70589,CEN12FA309,2012-02-26,Rochester,NY,ACC,N55XW,AERONCA,7AC,,1,MINR,"The pilot's failure to maintain directional control during takeoff, which resulted in a collision with terrain. Contributing to the accident was the contaminated runway surface."
20120309X55480,WPR12LA498,2012-03-09,Miami,FL,ACC,N4453X,BELL,206B,TEXTRON AVIATION INC,1,DEST,"The pilot's failure to maintain clearance from terrain during landing, which resulted in a hard landing. Contributing to the accident was the contaminated runway surface."
20120422X82861,GAA12FA538,2012-04-22,Washington,VA,ACC,N2739E,CIRRUS,SR22,MARTINEZ MICHAEL B,0,NONE,"The pilot's improper fuel management during approach, which resulted in a ground loop. Contributing to the accident was the dark night conditions."
20120427X80173,GAA12FA195,2012-04-27,Jacksonville,FL,ACC,N7815Z,CESSNA,CITATION CJ4,MERIDIAN AIR CHARTER LLC,2,NONE,"The pilot's improper fuel management during landing, which resulted in an aerodynamic stall. Contributing to the accident was the dark night conditions."
20120429X71744,WPR12CA532,2012-04-29,Fort Myers,FL,ACC,N198KZ,STINSON,108-3,,,NONE,"The pilot's failure to maintain directional control during landing, which resulted in an aerodynamic stall. Contributing to the accident was inadequate maintenance inspection."
20120506X29099,ANC12LA446,2012-05-06,Albany,NY,ACC,N94970,Cessna,421C,ATP FLIGHT SCHOOL LLC,0,DEST,"The pilot's improper flare during takeoff, which resulted in an aerodynamic stall. Contributing to the accident was the gusting crosswind."
20120621X65093,ANC12LA509,2012-06-21,Baltimore,MD,INC,N534GZ,Piper,PA-31-350,AMERIFLIGHT LLC,2,SUBS,"The pilot's failure to maintain airspeed during cruise flight, which resulted in a hard landing. Contributing to the accident was the pilot's lack of recent experience in type."
20120701X30749,ERA12LA148,2012-07-01,Minneapolis,MN,ACC,N92132,CIRRUS,SR22,AMERIFLIGHT LLC,,MINR,"The pilot's improper fuel management during cruise flight, which resulted in a collision with terrain. Contributing to the accident was the dark night conditions."
20120710X75459,ANC12FA656,2012-07-10,Fairbanks,AK,ACC,N63EQ,BOEING,737-7H4,ATLAS AIR INC,,NONE,"The pilot's improper flare during cruise flight, which resulted in a ground loop. Contributing to the accident was the pilot's lack of recent experience in type."
20120818X80144,GAA12LA595,2012-08-18,Chicago,IL,ACC,N377PN,ROBINSON,R44 II,STATE OF ALASKA,0,SUBS,"The pilot's improper flare during cruise flight, which resulted in a gear collapse. Contributing to the accident was the pilot's lack of recent experience in type."
20121021X77075,WPR12LA612,2012-10-21,Boise,ID,ACC,N444TB,CESSNA,208B,EMBRY RIDDLE AERONAUTICAL UNIVERSITY,3,DEST,"The pilot's failure to maintain clearance from terrain during takeoff, which resulted in a collision with terrain. Contributing to the accident was the pilot's lack of recent experience in type."
20121208X33296,ERA12CA558,2012-12-08,Cincinnati,KY,ACC,N54298,CESSNA,310R,CLARK GEORGE W,0,NONE,"The pilot's inadequate preflight inspection during approach, which resulted in a hard landing. Contributing to the accident was the pilot's lack of recent experience in type."
20130224X42991,DCA13CA382,2013-02-24,Dallas-Fort Worth,TX,ACC,N148TJ,Cessna,172N,WILLIAMS JOHN H,0,DEST,"The pilot's failure to maintain clearance from terrain during cruise flight, which resulted in a hard landing. Contributing to the accident was the dark night conditions."
20130522X90651,WPR13LA623,2013-05-22,Tucson,AZ,ACC,N85509,CHAMPION,7ECA,,4,SUBS,"The pilot's failure to maintain airspeed during cruise flight, which resulted in a runway excursion. Contributing to the accident was the dark night conditions."
20130604X93291,ERA13LA170,2013-06-04,Portland,ME,ACC,N669NT,PIPER,PA-28 (ABOVE 200 HP),EMBRY RIDDLE AERONAUTICAL UNIVERSITY,,DEST,"The pilot's improper flare during cruise flight, which resulted in an aerodynamic stall. Contributing to the accident was inadequate maintenance inspection."
20140130X50290,GAA14FA192,2014-01-30,Columbus,OH,ACC,N85015,ERCOUPE,415-C,,,SUBS,"The pilot's inadequate weather evaluation during approach, which resulted in a gear collapse. Contributing to the accident was the dark night conditions."
20140506X94109,CEN14FA571,2014-05-06,Houston,TX,ACC,N425RQ,Airbus,A320NEO,AMERICAN AIRLINES INC,,DEST,"The pilot's improper flare during takeoff, which resulted in a hard landing. Contributing to the accident was the contaminated runway surface."
20140623X22104,GAA14CA627,2014-06-23,New Orleans,LA,ACC,N3772A,BELL,212,HIGH PLAINS CROP DUSTING INC,0,MINR,"The pilot's inadequate preflight inspection during approach, which resulted in a runway excursion. Contributing to the accident was the gusting crosswind."
20140711X65018,ANC14LA388,2014-07-11,Wichita,KS,INC,N62750,Piper,PA-28 (ABOVE 200 HP),AMERIFLIGHT LLC,0,SUBS,"The pilot's inadequate preflight inspection during takeoff, which resulted in a gear collapse. Contributing to the accident was inadequate maintenance inspection."
